commit,[similarity,combination]
b926a715717e239590f77968f36ebc5a1721a9db,
4c2dcc92b4ba404211deb3bf0559eaa8d43b2e84,['97', "['IToken.sol'", " 'ControllerEventDefinitions.sol'", " 'Controller.sol'", " 'Pausable.sol'", " 'Owned.sol'", " 'Token.sol'", " 'TokenReceivable.sol'", " 'SafeMath.sol'", " 'Finalizable.sol'", " 'EventDefinitions.sol'", " 'Ledger.sol']"]
17cfee99792ba31f63e541445e8d6878a169e9c8,['97', "['IToken.sol'", " 'ControllerEventDefinitions.sol'", " 'Controller.sol'", " 'Pausable.sol'", " 'Owned.sol'", " 'Token.sol'", " 'TokenReceivable.sol'", " 'SafeMath.sol'", " 'Finalizable.sol'", " 'EventDefinitions.sol'", " 'Ledger.sol']"]
09632c24a322daa37c112c1d6349faa10888cc45,['97', "['IToken.sol'", " 'ControllerEventDefinitions.sol'", " 'Controller.sol'", " 'Pausable.sol'", " 'Owned.sol'", " 'Token.sol'", " 'TokenReceivable.sol'", " 'SafeMath.sol'", " 'Finalizable.sol'", " 'EventDefinitions.sol'", " 'Ledger.sol']"]
c64525ee9f071a15e1cbe14f51390cddc3dda90a,['97', "['IToken.sol'", " 'ControllerEventDefinitions.sol'", " 'Controller.sol'", " 'Pausable.sol'", " 'Owned.sol'", " 'Token.sol'", " 'TokenReceivable.sol'", " 'SafeMath.sol'", " 'Finalizable.sol'", " 'EventDefinitions.sol'", " 'Ledger.sol']"]
c3e7469bacfa60e0acf0328adb5246e88c5ed94f,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
a0c0042651a88919ed948f73cb6f2976bf9015f2,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
b671849624602cbde70dd6e6c5ca022ba7fdfee1,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
01cc08daf3501813794e5f5d45837270f39746e6,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
306b5a42c7c59dcf267b753155905feacbe81acd,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
a93b81d63ee986d5830a60e7640809ed3d09d213,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
eefdc596d2812272b05b144bb163f69fcb42aeca,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
f6a9d99de74dfdf36512196ffb96b66fd3b2a7db,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
5b66d5fc64082208a53c3c5d1ae0bf86f5441f9b,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
085d21c9d3bac1c5796f8e96dd3edae4b2831c5c,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
69ed73c72eb9acafd74575061861fc0215d49832,['98', "['Controller.sol'", " 'SafeMath.sol'", " 'IToken.sol'", " 'Token.sol'", " 'Owned.sol'", " 'TokenReceivable.sol'", " 'Ledger.sol'", " 'EventDefinitions.sol'", " 'Finalizable.sol'", " 'Pausable.sol'", " 'ControllerEventDefinitions.sol']"]
