commit,[similarity,combination]
3ae8f013411bed5acf6585ba353c5878b480d947,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
c9572031a88335f549093c73dfaa69bbeca0e1d9,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
833289c463bc9427a650125f45d4ebacd17b6c40,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
09bb0155f0bcf4088c72328357a9ccbac6d121fd,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
5089ab16382752e8819bd7e967b1c9c02989dd87,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
8c927867507f8704a0b436c5b0ccc64ef9df0fd7,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
be9149c3e929639e82677469f35562f0ba9ed9be,['12', "['StablecoinProxy.sol'", " 'Migrations.sol'", " 'SafeMath.sol'", " 'StablecoinWithBalance.sol'", " 'UpgradeabilityStorage.sol']"]
d8ed6701a8d890bf4c65ce88d8873e4a1d8804b3,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
38fe5960f417f0dee56f195c17b5f0d69bb9791b,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
30a858f5efd79533cfe6a02262b32b039ca7eff0,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
48b74fa9fb65082176d2d407795e6819176cfb87,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
c9cc4e147810fd35c10963772e25cfac0d6da097,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
aab02f1ba9bc2d71ea93bacdfec2e73774337697,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
5ffd2f899a31d96d3cfb86490d2e1c05fc42ec18,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
213996cbff621a4e513e75f542ede18989614f4b,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
253ead13d5a99e4827279e85fc45d529691004e4,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
0f27c6e1044658086be3b770bb9f95cc97ae04cf,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
e011ff11a9b88e109ea44a837a0b8c8ee268633e,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
57ee8f550706a4f8bb0cc6f761d4dc3574961340,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
ba877fdcbdfddac591f6d665f39d2652236deba3,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
39f599f9b1a3e9d5daf70812baaeaeda762fd2f2,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
042ad92fa27876b37149d4315a04b84dc813cb8c,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
318454e596127d8c14d71be09e18b9862849d7eb,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
e74751bfd145e308e5d51d9d06f8f1e760675039,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
f85b4a835b52de844be8f57e3bab40d65768d451,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
00d03350a8dac5a7d8fa80fc32c92f2546eb5813,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
0182e928d18cf3c48a2489dd581845463daee432,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
de7cd1aa6280786e938ae432a50c88ffc80ad8ef,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
9090650238e9576f1284764f132d72af9b0d267a,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
3d50aa32c4691c46d2bf3f8150fff270849e8dbe,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
fcf9373510750a2201a36e48ab488bc7b5cdaf29,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
69d99ea7737f8dfb59d17b70e025e6b00ef14ed6,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
932c09be18c6299dfe3077e73fd79b6ee2b1b11f,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
2650b8049f2f1fe53ebb3f5a0979241c4da9f1a5,['98', "['UpgradeabilityProxy.sol'", " 'Proxy.sol'", " 'AddressUtils.sol'", " 'AdminUpgradeabilityProxy.sol']"]
