commit,[similarity,combination]
b29eb5fa7d863648d6da4114feeb7b6bbb3c86f0,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
ecc2a0964a33df8464b366b765cc4bdcdcde7563,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
4d41809bf53d6a6326742043a5f8dbfdf369f2c7,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
08367d26db84c6de7a75686148daf2a4dd87ebe6,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
b3732680aa6bade87f844575cc7c5cdf02c4cdb3,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
d87f246d701a0d7234ea755d915d101019ba195d,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
10c58b0309464512973ab83b024e4728242b21e3,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
540821be2afd02e18eacb9e10e70b51dbb7f6555,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
9b606165cddfe53e1b65efc7d10386ec894a7456,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
6c483646cbb9ac570f14023c71c600108adaa0c6,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
982272b18a2ddadd67ef1cd8b17dc42b399b1707,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
cfa5ee13c644c654a9bafb79240328b5cadbe082,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
5ea3aed9175cfac2439b7c66dfce7cb86a551b00,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
a80496190387e9c94507564bd0e0241bc6c54930,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
4cffe1808635cd4c9246652dd6f0edebdf8314d8,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
f29daf73bf111011752559a928e67158a6b43ad5,['46', "['FaucetRLC.sol'", " 'TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol']"]
ef996bc756ec1b106639e50ab32d2bb0c2ba4b88,['49', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
c1c4aa104ad39fd27f15e9a61f3318e9f96451a1,['49', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
df8a84b3a2bca43f018f1b3155503b5def03d7ac,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
59e0aacac19c211674f8d42f5109cb6592984b8a,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
8f693f51f58d7f420201fc0e4cfb9281c132aff6,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
a664c98345a6d6b283eb341c9b36042fa3f664ee,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
0b81340d2b9a43495ca3bd26cc3f5b62ab03501a,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
21fd9180bc8d4abd7bd06f15d78664ff04350fde,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
912de176590ddba3aa529bfca39621081249f0dc,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
816d11f6e496aa471cb46970737a18ac03fac091,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
61442fc475315a43b8bbc2f69ea3e77de72e0b54,['50', "['TokenSpender.sol'", " 'SafeMath.sol'", " 'Ownable.sol'", " 'ERC20.sol'", " 'RLC.sol']"]
