commit,[similarity,combination]
0681a1ea35435db347a57cd631cc1872b3179e24,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
7d7e612e15afa01da266546ff5f4bcfbda5808eb,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
575e28c4761cb9a3b3cec26661023cf613cef331,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
d806ffb43165aa7bdc45456360d1671dc2dabe0a,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
947b910670bb0d62620dc80effce273b2f5fb941,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
da5e32186772a9fc8e95d714cbfe566a8b861dba,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
0d4361633f558aba8141eb2f82f2e7c6ca9707aa,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
436d183eef63a6a96f6f92f6094ce340e1cb46d3,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
7e5d9648951cbceea17bed7746cdcee88ca8b699,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
f15e0d76e45080c95728115273e40c3dd1a1cd97,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
ba773716df04738f2ba14ffab08ccbeff57e6ff2,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
1eabb8328784324669f58c0d17df5751aecaa30f,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
46592ac461949fa793b9d0dc1f59df9bf7ea07f3,['92', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
64b3d75b6431d75ebeb426ce935009d2187830c1,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
5735d551e1ff504c5ce26132aacf246ade122d26,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
eb16c21b0341516a4e98381efa1f575d86e43b03,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
3158c10d1a0b6347b9490aad68caab7e5f17d753,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
0406dee78953802b9c6e5e965c400ed07bce1cd5,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
8ffd22e6275aa423813d1a680857794c4f3c4174,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
79b92084d7f470937932ef28609e689f5e15ca90,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
94cc2037b9167dbae9c03c10c340bcf6ef2b0c04,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
a84efb9cb6f6e628298b79318b5be326cbe3b3d0,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
581c411b86335b77a930743194a3c1387f09ce39,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
7b149208a6b82188b864c6354f77e6d727090653,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
be43aec0c1db6c11782d919afe9a28cc04c333fc,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
f78b5a90679fbb2dc5a977e3716b6eb7bb2cc621,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
fa11644b3725d19597c21f2394d8ed2d71b88db2,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
b641fe0aea54c8f75db3cca3ce85e45372066614,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
fc979f67fc34786e49ba3c589fb0836699700037,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
a4fc8e27af6b18d3f02e2cc9269fe84872775fb1,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
d9724fa454b0db70d8a907cf7b821ce88097684f,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
15657f05ee39855f6598ce5b1055c9eb1adeb053,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
262e8146ddfee8810a14284f3e5afb4484318cbd,['94', "['StandardToken.sol'", " 'SafeMath.sol'", " 'ThetaToken.sol']"]
