commit,[similarity,combination]
d01d5c03107bb43aebaa2aa25b5df8d02e5856ac,
db543f383832da6060f8b216e0b781446f7f7b31,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
35183f17cb9cd098904255f19d7c5d180a34f736,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
2a595765d1bd33c3b89d1a71a42f1906ae1881f0,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
ca3d7ba4182d032fb62e786a2668609036895c76,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
cf5bb791fbc9adcc0d92c2fcbc80191c59af3cc2,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
472ec93662296795da392e4a9a95375c68f0505a,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
6eb0ef72269346394b7202fa33506e03dacda5fd,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
21e53136587764af32e2f66f3a948fcc40503177,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
5e8c23832e2e02e4b3c45a4a5610ae56a52b7e15,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
adb3ee87a713f3e2fd9ea7e2b2874e15c9ff7749,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
885307d512b208900b9f3d016519c4676c250246,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
cd2b7086f61a09644a26145366e1f007c58ce17e,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
ddbaebcf6270e77e7eae43cadd1697d8eb7446aa,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
5dc3fe07d19ea1342148a8a18441ebc8b436108c,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
6bd908a72890878a4440811972dccbd292f8566c,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
e9ba8a9c396d0d49576effd230b045b2c1fab600,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
21df26193857af0298e3363b9e4b9fe6d56b67bc,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
97510d115564d46bed0838fa7073fdfab3935174,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
f0be987d78af6a84c7b026c7fe9498e3c3299fc6,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
7281040a8273bd1f05f7d505497e1c1dc516865e,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
3c3f0d1230f19aab0ef9640c5e0121e2369ba183,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
5943e3cb3272d2280e55d72f5d1fc21e9a482030,['5', "['prototype.sol'", " 'Migrations.sol'", " 'params.sol'", " 'energy.sol'", " 'voting.sol'", " 'extension.sol'", " 'builtin.sol']"]
