token,commits_per_author,author
,    41, Steve Ellis
ChainLink-Token, ,
,     2, HuobiRussia
HuobiToken, ,
,    22, linglong
,     1, Diogo Oliveira de Melo
,     1, bin.qian
,     1, llyanGithub
VeChain, ,
,    29, Brent
,     2, ajain-paxos
,     1, Connor Stein
,     1, Ilan Gitter
,     1, Josh Giles
Paxos-Standard, ,
,     3, Terry Li
,     1, Rafael Cosman
TrueUSD, ,
,     4, 0xDd216
Reputation, ,
,     2, Seita Uchimura
KyberNetwork, ,
,   202, rain
,    71, Gonzalo Balabasquer
,    26, dc
,    16, Lev Livnev
,    13, Kurt Barry
,    13, Martin Lundfall
,    12, Chris Smith
,     6, Christopher Mooney
,     4, Brian L. McMichael
,     4, Dumitru Zavrotschi
,     3, David Terry
,     3, Lorenzo
,     2, Lorenzo Manacorda
,     2, Lucas Manuel
,     1, Anton Bukov
,     1, Brian McMichael
,     1, Denis
,     1, Kenton Prescott
,     1, Manuel Polzhofer
,     1, Mariano Conti
,     1, daimesava
Dai-Stablecoin, ,
,    19, Jieyi Long
,    17, Sim
Theta-Token, ,
,     3, Alex Bash
Nexo, ,
,     3, enjin
,     1, Witek Radomski
,     1, coinfork
EnjinCoin, ,
,     7, mcopio
,     1, reedhong
MCO, ,
,     1, Ilan Gitter
,     1, Zoe14
,     1, snyk-bot
Binance-USD, ,
,     1, jianyixun
Bytom, ,
,     1, James Li
DxChain-Token, ,
,     5, SwipeDevelopment
Swipe, ,
,     5, Yaoqi
,     2, Jun Hao Tan
,     1, Sajjon
Zilliqa, ,
,    36, BokkyPooBah
,     7, Yao Sun
,     6, yao-sun
,     2, gonuco
AION, ,
,    17, reedhong
,     1, SeeleTech
SeeleToken, ,
,   145, Paweł Bylica
,    46, Paul Peregud
,    46, mfranciszkiewicz
,    33, Viggith
,    15, subtly
,    10, badb
,     8, viggith
,     4, Aleksandra Skrzypczak
,     2, Adam Banasiak
,     1, banasiakadam60
Golem, ,
,    10, Erick Herring
WAX-Token, ,
,    21, victor
,     8, francois branciard
,     2, Pierre Jeanjacquot
,     2, fbranciard
,     1, Victor
,     1, sulliwane
RLC, ,
,     7, Ankur Daharwal
PowerLedger, ,
,   122, Esteban Ordano
,    67, Ariel
,    48, Nicolás Santángelo
,    29, Ignacio Mazzara
,    21, Ariel Barmat
,     6, Alonzo Coeus
,     6, Ignacio
,     3, belohlavek
,     3, wizbt
,     2, HPrivakos
,     2, sevenflash
Decentraland, ,
,   128, Jorge Izquierdo
,    40, Jordi Baylina
,    15, Griff Green
,     9, Brett Sun
,     2, Adán Sánchez de Pedro Crespo
,     2, Luis Iván Cuende
,     1, Riaan F Venter
Aragon, ,
,  1706, barakman
,   922, yudilevi
,   536, Yudi Levi
,   188, Leonid Beder
,    82, Or
,    68, David Benchimol
,    34, Martin Holst Swende
,    19, Yuval Weiss
,     9, barak manos
,     8, Barak Manos
,     6, dependabot[bot]
,     5, nhindman23
,     3, snyk-bot
,     3, 董淑伟
,     2, asafLocal
,     2, ilanapi
,     1, Dan Shields
,     1, Daniel Que
,     1, Nick Johnson
,     1, davidbancor
,     1, ritaurbach
,     1, rotcivegaf
,     1, snyk-test
Bancor, ,
,    24, Peter
,     1, adrian-rublix
HEDG, ,
,   110, KIrill Guzenko
,    16, Anthony Akentiev
,    15, Anton Akentiev
,    13, Jitendra Chittoda
,     4, Edmund
,     4, EthWarrior
,     4, Stani Kulechov
,     2, ETHLend
,     2, Edmund To
EthLend, ,
,   724, Anton Jurisevic
,   453, justin j. moses
,   298, Jackson C
,   296, hav-noms
,   241, ajs
,   231, Kevin Brown
,   212, Synthetix Team
,   191, DominicRomanowski
,   152, CLINT
,   130, Jackson
,    78, Michael Spain
,    68, Gavin Conway
,    34, Clement Balestrat
,    26, Clinton Ennis
,    22, Alejandro Santander
,    20, Anton Bukov
,    15, Justin J. Moses
,    12, ramboze
,    11, Clément BALESTRAT
,     8, Yannis
,     6, Martin Zdarsky
,     6, Samuel Brooks
,     5, i-stam
,     4, Kain Warwick
,     4, Naveen Palaniswamy
,     3, Kevin Ho
,     3, cgewecke
,     3, jacko125
,     2, Jackson Chan
,     1, EC2 Default User
,     1, G-Lab
,     1, Mudit Gupta
Synthetix Network Token, ,
,     1, remonee
,     1, yuzhixiang
OKB, ,
