token,total_commits,contributors_amount
,175,8
ChainLink-Token, ,
,2,0
HuobiToken, ,
,25,5
VeChain, ,
,40,7
Paxos-Standard, ,
,4,0
TrueUSD, ,
,4,0
Reputation, ,
,2,0
KyberNetwork, ,
,586,11
Dai-Stablecoin, ,
,36,4
Theta-Token, ,
,3,1
Nexo, ,
,5,0
EnjinCoin, ,
,8,0
MCO, ,
,7,2
Binance-USD, ,
,1,0
Bytom, ,
,1,0
DxChain-Token, ,
,5,0
Swipe, ,
,8,3
Zilliqa, ,
,51,1
AION, ,
,38,0
SeeleToken, ,
,365,7
Golem, ,
,10,0
WAX-Token, ,
,39,3
RLC, ,
,7,0
PowerLedger, ,
,333,7
Decentraland, ,
,197,9
Aragon, ,
,3603,8
Bancor, ,
,25,0
HEDG, ,
,173,0
EthLend, ,
,4161,4
Synthetix Network Token, ,
,2,0
OKB, ,
