similarity,combination
0,['SavingsMock.sol', 'IToken.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol']
6,['SavingsMock.sol', 'Controller.sol']
0,['SavingsMock.sol', 'Pausable.sol']
1,['SavingsMock.sol', 'Owned.sol']
0,['SavingsMock.sol', 'Token.sol']
0,['SavingsMock.sol', 'Migrations.sol']
1,['SavingsMock.sol', 'Receiver.sol']
1,['SavingsMock.sol', 'TokenReceivable.sol']
3,['SavingsMock.sol', 'ControllerMock.sol']
0,['SavingsMock.sol', 'SafeMath.sol']
3,['SavingsMock.sol', 'DummyMock.sol']
3,['SavingsMock.sol', 'LedgerMock.sol']
0,['SavingsMock.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'EventDefinitions.sol']
3,['SavingsMock.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'Savings.sol']
0,['SavingsMock.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'Sale.sol']
5,['SavingsMock.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol']
5,['IToken.sol', 'Controller.sol']
1,['IToken.sol', 'Pausable.sol']
1,['IToken.sol', 'Owned.sol']
1,['IToken.sol', 'Token.sol']
0,['IToken.sol', 'Migrations.sol']
1,['IToken.sol', 'Receiver.sol']
0,['IToken.sol', 'TokenReceivable.sol']
4,['IToken.sol', 'ControllerMock.sol']
1,['IToken.sol', 'SafeMath.sol']
1,['IToken.sol', 'DummyMock.sol']
4,['IToken.sol', 'LedgerMock.sol']
1,['IToken.sol', 'Finalizable.sol']
1,['IToken.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'TokenMock.sol']
2,['IToken.sol', 'Savings.sol']
0,['IToken.sol', 'DummyToken.sol']
1,['IToken.sol', 'Sale.sol']
5,['IToken.sol', 'Ledger.sol']
5,['ControllerEventDefinitions.sol', 'Controller.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol']
1,['ControllerEventDefinitions.sol', 'Owned.sol']
1,['ControllerEventDefinitions.sol', 'Token.sol']
1,['ControllerEventDefinitions.sol', 'Migrations.sol']
1,['ControllerEventDefinitions.sol', 'Receiver.sol']
1,['ControllerEventDefinitions.sol', 'TokenReceivable.sol']
4,['ControllerEventDefinitions.sol', 'ControllerMock.sol']
1,['ControllerEventDefinitions.sol', 'SafeMath.sol']
4,['ControllerEventDefinitions.sol', 'DummyMock.sol']
4,['ControllerEventDefinitions.sol', 'LedgerMock.sol']
1,['ControllerEventDefinitions.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'EventDefinitions.sol']
4,['ControllerEventDefinitions.sol', 'TokenMock.sol']
3,['ControllerEventDefinitions.sol', 'Savings.sol']
1,['ControllerEventDefinitions.sol', 'DummyToken.sol']
1,['ControllerEventDefinitions.sol', 'Sale.sol']
5,['ControllerEventDefinitions.sol', 'Ledger.sol']
5,['Controller.sol', 'Pausable.sol']
5,['Controller.sol', 'Owned.sol']
5,['Controller.sol', 'Token.sol']
4,['Controller.sol', 'Migrations.sol']
5,['Controller.sol', 'Receiver.sol']
5,['Controller.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'ControllerMock.sol']
4,['Controller.sol', 'SafeMath.sol']
5,['Controller.sol', 'DummyMock.sol']
5,['Controller.sol', 'LedgerMock.sol']
5,['Controller.sol', 'Finalizable.sol']
3,['Controller.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'TokenMock.sol']
5,['Controller.sol', 'Savings.sol']
2,['Controller.sol', 'DummyToken.sol']
3,['Controller.sol', 'Sale.sol']
9,['Controller.sol', 'Ledger.sol']
1,['Pausable.sol', 'Owned.sol']
1,['Pausable.sol', 'Token.sol']
0,['Pausable.sol', 'Migrations.sol']
1,['Pausable.sol', 'Receiver.sol']
0,['Pausable.sol', 'TokenReceivable.sol']
1,['Pausable.sol', 'ControllerMock.sol']
1,['Pausable.sol', 'SafeMath.sol']
1,['Pausable.sol', 'DummyMock.sol']
1,['Pausable.sol', 'LedgerMock.sol']
1,['Pausable.sol', 'Finalizable.sol']
1,['Pausable.sol', 'EventDefinitions.sol']
1,['Pausable.sol', 'TokenMock.sol']
2,['Pausable.sol', 'Savings.sol']
0,['Pausable.sol', 'DummyToken.sol']
1,['Pausable.sol', 'Sale.sol']
6,['Pausable.sol', 'Ledger.sol']
1,['Owned.sol', 'Token.sol']
0,['Owned.sol', 'Migrations.sol']
1,['Owned.sol', 'Receiver.sol']
0,['Owned.sol', 'TokenReceivable.sol']
1,['Owned.sol', 'ControllerMock.sol']
1,['Owned.sol', 'SafeMath.sol']
1,['Owned.sol', 'DummyMock.sol']
1,['Owned.sol', 'LedgerMock.sol']
1,['Owned.sol', 'Finalizable.sol']
1,['Owned.sol', 'EventDefinitions.sol']
1,['Owned.sol', 'TokenMock.sol']
2,['Owned.sol', 'Savings.sol']
0,['Owned.sol', 'DummyToken.sol']
1,['Owned.sol', 'Sale.sol']
6,['Owned.sol', 'Ledger.sol']
0,['Token.sol', 'Migrations.sol']
1,['Token.sol', 'Receiver.sol']
1,['Token.sol', 'TokenReceivable.sol']
4,['Token.sol', 'ControllerMock.sol']
1,['Token.sol', 'SafeMath.sol']
1,['Token.sol', 'DummyMock.sol']
4,['Token.sol', 'LedgerMock.sol']
1,['Token.sol', 'Finalizable.sol']
1,['Token.sol', 'EventDefinitions.sol']
4,['Token.sol', 'TokenMock.sol']
2,['Token.sol', 'Savings.sol']
0,['Token.sol', 'DummyToken.sol']
1,['Token.sol', 'Sale.sol']
5,['Token.sol', 'Ledger.sol']
1,['Migrations.sol', 'Receiver.sol']
0,['Migrations.sol', 'TokenReceivable.sol']
0,['Migrations.sol', 'ControllerMock.sol']
1,['Migrations.sol', 'SafeMath.sol']
0,['Migrations.sol', 'DummyMock.sol']
0,['Migrations.sol', 'LedgerMock.sol']
0,['Migrations.sol', 'Finalizable.sol']
1,['Migrations.sol', 'EventDefinitions.sol']
0,['Migrations.sol', 'TokenMock.sol']
2,['Migrations.sol', 'Savings.sol']
0,['Migrations.sol', 'DummyToken.sol']
1,['Migrations.sol', 'Sale.sol']
5,['Migrations.sol', 'Ledger.sol']
1,['Receiver.sol', 'TokenReceivable.sol']
1,['Receiver.sol', 'ControllerMock.sol']
1,['Receiver.sol', 'SafeMath.sol']
1,['Receiver.sol', 'DummyMock.sol']
1,['Receiver.sol', 'LedgerMock.sol']
1,['Receiver.sol', 'Finalizable.sol']
1,['Receiver.sol', 'EventDefinitions.sol']
1,['Receiver.sol', 'TokenMock.sol']
2,['Receiver.sol', 'Savings.sol']
0,['Receiver.sol', 'DummyToken.sol']
1,['Receiver.sol', 'Sale.sol']
6,['Receiver.sol', 'Ledger.sol']
1,['TokenReceivable.sol', 'ControllerMock.sol']
1,['TokenReceivable.sol', 'SafeMath.sol']
1,['TokenReceivable.sol', 'DummyMock.sol']
1,['TokenReceivable.sol', 'LedgerMock.sol']
0,['TokenReceivable.sol', 'Finalizable.sol']
1,['TokenReceivable.sol', 'EventDefinitions.sol']
1,['TokenReceivable.sol', 'TokenMock.sol']
2,['TokenReceivable.sol', 'Savings.sol']
0,['TokenReceivable.sol', 'DummyToken.sol']
1,['TokenReceivable.sol', 'Sale.sol']
5,['TokenReceivable.sol', 'Ledger.sol']
