similarity,combination
1,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol']
4,['SavingsMock.sol', 'IToken.sol', 'Controller.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Pausable.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Owned.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Token.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Migrations.sol']
0,['SavingsMock.sol', 'IToken.sol', 'Receiver.sol']
1,['SavingsMock.sol', 'IToken.sol', 'TokenReceivable.sol']
1,['SavingsMock.sol', 'IToken.sol', 'ControllerMock.sol']
1,['SavingsMock.sol', 'IToken.sol', 'SafeMath.sol']
1,['SavingsMock.sol', 'IToken.sol', 'DummyMock.sol']
1,['SavingsMock.sol', 'IToken.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'IToken.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'IToken.sol', 'TokenMock.sol']
3,['SavingsMock.sol', 'IToken.sol', 'Savings.sol']
0,['SavingsMock.sol', 'IToken.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'IToken.sol', 'Sale.sol']
5,['SavingsMock.sol', 'IToken.sol', 'Ledger.sol']
3,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Controller.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Owned.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Token.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Receiver.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'ControllerMock.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'DummyMock.sol']
0,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'LedgerMock.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'ControllerEventDefinitions.sol', 'EventDefinitions.sol']
