similarity,combination
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'TokenReceivable.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'SafeMath.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Finalizable.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'DummyToken.sol']
10,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'Migrations.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'DummyToken.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Owned.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'Migrations.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'TokenReceivable.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'SafeMath.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'Finalizable.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'DummyToken.sol']
9,['IToken.sol', 'ControllerEventDefinitions.sol', 'Token.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'DummyToken.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Migrations.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol', 'SafeMath.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'TokenReceivable.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol', 'Finalizable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'SafeMath.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Finalizable.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Finalizable.sol', 'Ledger.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'EventDefinitions.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'Token.sol']
4,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'Migrations.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'TokenReceivable.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'SafeMath.sol']
6,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'Finalizable.sol']
4,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'EventDefinitions.sol']
5,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'DummyToken.sol']
8,['IToken.sol', 'Controller.sol', 'Pausable.sol', 'Ledger.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Token.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'TokenReceivable.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'SafeMath.sol']
6,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Finalizable.sol']
5,['IToken.sol', 'Controller.sol', 'Owned.sol', 'EventDefinitions.sol']
4,['IToken.sol', 'Controller.sol', 'Owned.sol', 'DummyToken.sol']
7,['IToken.sol', 'Controller.sol', 'Owned.sol', 'Ledger.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol']
5,['IToken.sol', 'Controller.sol', 'Token.sol', 'TokenReceivable.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'SafeMath.sol']
4,['IToken.sol', 'Controller.sol', 'Token.sol', 'Finalizable.sol']
