similarity,combination
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'TokenMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'ControllerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'DummyMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Savings.sol']
7,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Receiver.sol']
20,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'EventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'TokenMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'ControllerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'DummyMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Savings.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Migrations.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'TokenReceivable.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Receiver.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'SavingsMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Owned.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'ControllerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'DummyMock.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'Savings.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenMock.sol', 'Receiver.sol']
