similarity,combination
4,['Controller.sol', 'SafeMath.sol']
5,['Controller.sol', 'IToken.sol']
5,['Controller.sol', 'Token.sol']
5,['Controller.sol', 'Owned.sol']
5,['Controller.sol', 'TokenMock.sol']
5,['Controller.sol', 'ControllerMock.sol']
5,['Controller.sol', 'DummyMock.sol']
5,['Controller.sol', 'Savings.sol']
4,['Controller.sol', 'Migrations.sol']
5,['Controller.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'Receiver.sol']
9,['Controller.sol', 'Ledger.sol']
3,['Controller.sol', 'Sale.sol']
5,['Controller.sol', 'LedgerMock.sol']
6,['Controller.sol', 'SavingsMock.sol']
3,['Controller.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'Finalizable.sol']
5,['Controller.sol', 'Pausable.sol']
5,['Controller.sol', 'ControllerEventDefinitions.sol']
2,['Controller.sol', 'DummyToken.sol']
1,['SafeMath.sol', 'IToken.sol']
4,['SafeMath.sol', 'Token.sol']
1,['SafeMath.sol', 'Owned.sol']
1,['SafeMath.sol', 'TokenMock.sol']
1,['SafeMath.sol', 'ControllerMock.sol']
2,['SafeMath.sol', 'DummyMock.sol']
3,['SafeMath.sol', 'Savings.sol']
1,['SafeMath.sol', 'Migrations.sol']
1,['SafeMath.sol', 'TokenReceivable.sol']
1,['SafeMath.sol', 'Receiver.sol']
4,['SafeMath.sol', 'Ledger.sol']
1,['SafeMath.sol', 'Sale.sol']
1,['SafeMath.sol', 'LedgerMock.sol']
0,['SafeMath.sol', 'SavingsMock.sol']
1,['SafeMath.sol', 'EventDefinitions.sol']
1,['SafeMath.sol', 'Finalizable.sol']
1,['SafeMath.sol', 'Pausable.sol']
1,['SafeMath.sol', 'ControllerEventDefinitions.sol']
1,['SafeMath.sol', 'DummyToken.sol']
4,['IToken.sol', 'Token.sol']
1,['IToken.sol', 'Owned.sol']
4,['IToken.sol', 'TokenMock.sol']
4,['IToken.sol', 'ControllerMock.sol']
1,['IToken.sol', 'DummyMock.sol']
4,['IToken.sol', 'Savings.sol']
0,['IToken.sol', 'Migrations.sol']
0,['IToken.sol', 'TokenReceivable.sol']
1,['IToken.sol', 'Receiver.sol']
5,['IToken.sol', 'Ledger.sol']
1,['IToken.sol', 'Sale.sol']
4,['IToken.sol', 'LedgerMock.sol']
0,['IToken.sol', 'SavingsMock.sol']
1,['IToken.sol', 'EventDefinitions.sol']
1,['IToken.sol', 'Finalizable.sol']
1,['IToken.sol', 'Pausable.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol']
0,['IToken.sol', 'DummyToken.sol']
3,['Token.sol', 'Owned.sol']
4,['Token.sol', 'TokenMock.sol']
4,['Token.sol', 'ControllerMock.sol']
4,['Token.sol', 'DummyMock.sol']
6,['Token.sol', 'Savings.sol']
4,['Token.sol', 'Migrations.sol']
3,['Token.sol', 'TokenReceivable.sol']
3,['Token.sol', 'Receiver.sol']
9,['Token.sol', 'Ledger.sol']
3,['Token.sol', 'Sale.sol']
4,['Token.sol', 'LedgerMock.sol']
4,['Token.sol', 'SavingsMock.sol']
4,['Token.sol', 'EventDefinitions.sol']
4,['Token.sol', 'Finalizable.sol']
3,['Token.sol', 'Pausable.sol']
4,['Token.sol', 'ControllerEventDefinitions.sol']
4,['Token.sol', 'DummyToken.sol']
1,['Owned.sol', 'TokenMock.sol']
1,['Owned.sol', 'ControllerMock.sol']
1,['Owned.sol', 'DummyMock.sol']
3,['Owned.sol', 'Savings.sol']
0,['Owned.sol', 'Migrations.sol']
0,['Owned.sol', 'TokenReceivable.sol']
1,['Owned.sol', 'Receiver.sol']
6,['Owned.sol', 'Ledger.sol']
1,['Owned.sol', 'Sale.sol']
1,['Owned.sol', 'LedgerMock.sol']
1,['Owned.sol', 'SavingsMock.sol']
1,['Owned.sol', 'EventDefinitions.sol']
1,['Owned.sol', 'Finalizable.sol']
1,['Owned.sol', 'Pausable.sol']
1,['Owned.sol', 'ControllerEventDefinitions.sol']
0,['Owned.sol', 'DummyToken.sol']
2,['TokenMock.sol', 'ControllerMock.sol']
2,['TokenMock.sol', 'DummyMock.sol']
3,['TokenMock.sol', 'Savings.sol']
0,['TokenMock.sol', 'Migrations.sol']
1,['TokenMock.sol', 'TokenReceivable.sol']
1,['TokenMock.sol', 'Receiver.sol']
5,['TokenMock.sol', 'Ledger.sol']
1,['TokenMock.sol', 'Sale.sol']
2,['TokenMock.sol', 'LedgerMock.sol']
3,['TokenMock.sol', 'SavingsMock.sol']
1,['TokenMock.sol', 'EventDefinitions.sol']
1,['TokenMock.sol', 'Finalizable.sol']
1,['TokenMock.sol', 'Pausable.sol']
4,['TokenMock.sol', 'ControllerEventDefinitions.sol']
0,['TokenMock.sol', 'DummyToken.sol']
3,['ControllerMock.sol', 'DummyMock.sol']
3,['ControllerMock.sol', 'Savings.sol']
0,['ControllerMock.sol', 'Migrations.sol']
1,['ControllerMock.sol', 'TokenReceivable.sol']
1,['ControllerMock.sol', 'Receiver.sol']
5,['ControllerMock.sol', 'Ledger.sol']
1,['ControllerMock.sol', 'Sale.sol']
2,['ControllerMock.sol', 'LedgerMock.sol']
3,['ControllerMock.sol', 'SavingsMock.sol']
1,['ControllerMock.sol', 'EventDefinitions.sol']
1,['ControllerMock.sol', 'Finalizable.sol']
1,['ControllerMock.sol', 'Pausable.sol']
4,['ControllerMock.sol', 'ControllerEventDefinitions.sol']
0,['ControllerMock.sol', 'DummyToken.sol']
3,['DummyMock.sol', 'Savings.sol']
0,['DummyMock.sol', 'Migrations.sol']
1,['DummyMock.sol', 'TokenReceivable.sol']
1,['DummyMock.sol', 'Receiver.sol']
5,['DummyMock.sol', 'Ledger.sol']
1,['DummyMock.sol', 'Sale.sol']
2,['DummyMock.sol', 'LedgerMock.sol']
3,['DummyMock.sol', 'SavingsMock.sol']
1,['DummyMock.sol', 'EventDefinitions.sol']
1,['DummyMock.sol', 'Finalizable.sol']
1,['DummyMock.sol', 'Pausable.sol']
4,['DummyMock.sol', 'ControllerEventDefinitions.sol']
1,['DummyMock.sol', 'DummyToken.sol']
3,['Savings.sol', 'Migrations.sol']
3,['Savings.sol', 'TokenReceivable.sol']
3,['Savings.sol', 'Receiver.sol']
5,['Savings.sol', 'Ledger.sol']
3,['Savings.sol', 'Sale.sol']
3,['Savings.sol', 'LedgerMock.sol']
3,['Savings.sol', 'SavingsMock.sol']
4,['Savings.sol', 'EventDefinitions.sol']
3,['Savings.sol', 'Finalizable.sol']
3,['Savings.sol', 'Pausable.sol']
4,['Savings.sol', 'ControllerEventDefinitions.sol']
4,['Savings.sol', 'DummyToken.sol']
0,['Migrations.sol', 'TokenReceivable.sol']
1,['Migrations.sol', 'Receiver.sol']
5,['Migrations.sol', 'Ledger.sol']
1,['Migrations.sol', 'Sale.sol']
0,['Migrations.sol', 'LedgerMock.sol']
0,['Migrations.sol', 'SavingsMock.sol']
1,['Migrations.sol', 'EventDefinitions.sol']
0,['Migrations.sol', 'Finalizable.sol']
0,['Migrations.sol', 'Pausable.sol']
1,['Migrations.sol', 'ControllerEventDefinitions.sol']
0,['Migrations.sol', 'DummyToken.sol']
1,['TokenReceivable.sol', 'Receiver.sol']
5,['TokenReceivable.sol', 'Ledger.sol']
1,['TokenReceivable.sol', 'Sale.sol']
1,['TokenReceivable.sol', 'LedgerMock.sol']
1,['TokenReceivable.sol', 'SavingsMock.sol']
1,['TokenReceivable.sol', 'EventDefinitions.sol']
0,['TokenReceivable.sol', 'Finalizable.sol']
0,['TokenReceivable.sol', 'Pausable.sol']
1,['TokenReceivable.sol', 'ControllerEventDefinitions.sol']
0,['TokenReceivable.sol', 'DummyToken.sol']
6,['Receiver.sol', 'Ledger.sol']
1,['Receiver.sol', 'Sale.sol']
1,['Receiver.sol', 'LedgerMock.sol']
1,['Receiver.sol', 'SavingsMock.sol']
1,['Receiver.sol', 'EventDefinitions.sol']
1,['Receiver.sol', 'Finalizable.sol']
1,['Receiver.sol', 'Pausable.sol']
1,['Receiver.sol', 'ControllerEventDefinitions.sol']
0,['Receiver.sol', 'DummyToken.sol']
5,['Ledger.sol', 'Sale.sol']
5,['Ledger.sol', 'LedgerMock.sol']
5,['Ledger.sol', 'SavingsMock.sol']
5,['Ledger.sol', 'EventDefinitions.sol']
5,['Ledger.sol', 'Finalizable.sol']
6,['Ledger.sol', 'Pausable.sol']
5,['Ledger.sol', 'ControllerEventDefinitions.sol']
4,['Ledger.sol', 'DummyToken.sol']
1,['Sale.sol', 'LedgerMock.sol']
1,['Sale.sol', 'SavingsMock.sol']
