similarity,combination
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol']
50,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'DummyToken.sol']
26,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol']
14,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
23,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'Pausable.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
22,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'SavingsMock.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
50,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol', 'ControllerMock.sol', 'DummyMock.sol', 'Savings.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Receiver.sol', 'Ledger.sol', 'Sale.sol', 'LedgerMock.sol', 'EventDefinitions.sol', 'Finalizable.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
