similarity,combination
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
19,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
1,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'AddressUtils.sol']
23,['BUSDWithBalance.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
9,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
4,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
18,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
11,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
14,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
36,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol']
4,['BUSDWithBalance.sol', 'SafeMath.sol', 'Proxy.sol']
3,['BUSDWithBalance.sol', 'SafeMath.sol', 'SafeMathMock.sol']
1,['BUSDWithBalance.sol', 'SafeMath.sol', 'AddressUtils.sol']
7,['BUSDWithBalance.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'Proxy.sol', 'SafeMathMock.sol']
4,['BUSDWithBalance.sol', 'Proxy.sol', 'AddressUtils.sol']
30,['BUSDWithBalance.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
21,['BUSDWithBalance.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
13,['BUSDWithBalance.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol']
1,['BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol']
3,['BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
2,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
5,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
6,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol']
3,['BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol']
2,['BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'SafeMath.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDImplementation.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
12,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
21,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
10,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
14,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
43,['Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol']
7,['Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
4,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
7,['Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
22,['Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
8,['Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
8,['Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
29,['Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
