similarity,combination
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
18,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
