similarity,combination
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol']
3,['BUSDWithBalance.sol', 'Migrations.sol']
13,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'SafeMath.sol']
2,['BUSDWithBalance.sol', 'TSDImplementation.sol']
5,['BUSDWithBalance.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'SafeMathMock.sol']
1,['BUSDWithBalance.sol', 'AddressUtils.sol']
16,['BUSDWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'SafeMath.sol']
1,['BUSDImplementation.sol', 'TSDImplementation.sol']
3,['BUSDImplementation.sol', 'Proxy.sol']
2,['BUSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol']
4,['Migrations.sol', 'SafeMath.sol']
2,['Migrations.sol', 'TSDImplementation.sol']
7,['Migrations.sol', 'Proxy.sol']
1,['Migrations.sol', 'SafeMathMock.sol']
2,['Migrations.sol', 'AddressUtils.sol']
25,['Migrations.sol', 'AdminUpgradeabilityProxy.sol']
7,['UpgradeabilityProxy.sol', 'SafeMath.sol']
4,['UpgradeabilityProxy.sol', 'TSDImplementation.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol']
9,['UpgradeabilityProxy.sol', 'AddressUtils.sol']
42,['UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMath.sol', 'TSDImplementation.sol']
2,['SafeMath.sol', 'Proxy.sol']
3,['SafeMath.sol', 'SafeMathMock.sol']
5,['SafeMath.sol', 'AddressUtils.sol']
4,['SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['TSDImplementation.sol', 'Proxy.sol']
2,['TSDImplementation.sol', 'SafeMathMock.sol']
2,['TSDImplementation.sol', 'AddressUtils.sol']
5,['TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
8,['Proxy.sol', 'SafeMathMock.sol']
5,['Proxy.sol', 'AddressUtils.sol']
30,['Proxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMathMock.sol', 'AddressUtils.sol']
22,['SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
15,['AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
