similarity,combination
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Migrations.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
4,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'BUSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
10,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
4,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
18,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
10,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
16,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
39,['BUSDWithBalance.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
3,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
22,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
6,['BUSDWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
29,['BUSDWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
22,['BUSDWithBalance.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
14,['BUSDWithBalance.sol', 'Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
11,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
9,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
10,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
27,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol']
4,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
4,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
17,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
18,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
67,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
10,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
40,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
46,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['BUSDWithBalance.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
27,['BUSDWithBalance.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['BUSDWithBalance.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
7,['BUSDWithBalance.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
28,['BUSDWithBalance.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
28,['BUSDWithBalance.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
17,['BUSDWithBalance.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol']
4,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol']
4,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol']
4,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol']
6,['BUSDImplementation.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'TSDImplementation.sol']
3,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'Proxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'Migrations.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Migrations.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Migrations.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'Migrations.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
5,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
6,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol']
2,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['BUSDImplementation.sol', 'UpgradeabilityProxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol']
1,['BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
1,['BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol']
3,['BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'SafeMath.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'SafeMath.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
2,['BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
2,['BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
1,['BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
3,['BUSDImplementation.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
11,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
14,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
44,['Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol']
4,['Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AddressUtils.sol']
6,['Migrations.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'AdminUpgradeabilityProxy.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
20,['Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
