similarity,combination
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Token223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'ERC20.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'Token223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'Token223Receiver.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'Token223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC223.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol', 'Token223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
