similarity,combination
4,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkERC20.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'Migrations.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'ERC677.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'linkERC20.sol']
3,['ERC677Token.sol', 'LinkERC20.sol', 'linkSafeMath.sol']
4,['ERC677Token.sol', 'LinkERC20.sol', 'BasicTokenMock.sol']
4,['ERC677Token.sol', 'LinkERC20.sol', 'StandardTokenMock.sol']
4,['ERC677Token.sol', 'LinkERC20.sol', 'Migrations.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'linkBasicToken.sol']
4,['ERC677Token.sol', 'LinkERC20.sol', 'ERC677Receiver.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkERC20.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'LinkERC20.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'LinkERC20.sol', 'Token677.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol']
3,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol']
3,['ERC677Token.sol', 'ERC677.sol', 'Migrations.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'linkStandardToken.sol']
2,['ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'Token677.sol']
3,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'Migrations.sol']
6,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'linkERC20.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'Token677.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'Migrations.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
1,['ERC677Token.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
3,['ERC677Token.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
4,['ERC677Token.sol', 'linkSafeMath.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
3,['ERC677Token.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkSafeMath.sol', 'Token677.sol']
3,['ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
3,['ERC677Token.sol', 'BasicTokenMock.sol', 'Migrations.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
8,['ERC677Token.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'BasicTokenMock.sol', 'Token677.sol']
4,['ERC677Token.sol', 'StandardTokenMock.sol', 'Migrations.sol']
4,['ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
5,['ERC677Token.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
8,['ERC677Token.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
1,['ERC677Token.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
1,['ERC677Token.sol', 'StandardTokenMock.sol', 'Token677.sol']
3,['ERC677Token.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'Migrations.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'Migrations.sol', 'ERC677Receiver.sol']
5,['ERC677Token.sol', 'Migrations.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'Migrations.sol', 'LinkToken.sol']
5,['ERC677Token.sol', 'Migrations.sol', 'linkStandardToken.sol']
3,['ERC677Token.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'Migrations.sol', 'Token677.sol']
5,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
6,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
4,['ERC677Token.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
6,['ERC677Token.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
6,['ERC677Token.sol', 'linkBasicToken.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'linkBasicToken.sol', 'Token677.sol']
6,['ERC677Token.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
5,['ERC677Token.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
9,['ERC677Token.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
2,['ERC677Token.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['ERC677Token.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20Basic.sol', 'Token677.sol']
8,['ERC677Token.sol', 'LinkToken.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'LinkToken.sol', 'Token677.sol']
9,['ERC677Token.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'linkStandardToken.sol', 'Token677.sol']
1,['ERC677Token.sol', 'NotERC677Compatible.sol', 'Token677.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'ERC677.sol']
6,['LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20.sol']
1,['LinkReceiver.sol', 'LinkERC20.sol', 'linkSafeMath.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'LinkERC20.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'LinkERC20.sol', 'Migrations.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'LinkERC20.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'ERC677Receiver.sol']
7,['LinkReceiver.sol', 'LinkERC20.sol', 'linkERC20Basic.sol']
4,['LinkReceiver.sol', 'LinkERC20.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'LinkERC20.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'LinkERC20.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol']
2,['LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'ERC677.sol', 'Migrations.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'ERC677.sol', 'Token677.sol']
2,['LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
3,['LinkReceiver.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'Migrations.sol']
5,['LinkReceiver.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'linkBasicToken.sol']
5,['LinkReceiver.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
5,['LinkReceiver.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'LinkToken.sol']
6,['LinkReceiver.sol', 'linkERC20.sol', 'linkStandardToken.sol']
