similarity,combination
5,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'StandardToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
2,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token677.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
