similarity,combination
3,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'StandardToken.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'Token677ReceiverMock.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677Receiver.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'LinkToken.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'NotERC677Compatible.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'Token677.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'ERC20.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC677.sol']
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol']
8,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'LinkReceiver.sol', 'Token677.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC677.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'ERC677.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'ERC677.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC677.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
2,['SafeMath.sol', 'ERC677.sol', 'ERC677Receiver.sol']
3,['SafeMath.sol', 'ERC677.sol', 'LinkToken.sol']
4,['SafeMath.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
3,['SafeMath.sol', 'ERC677.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'ERC677.sol', 'Token677.sol']
8,['SafeMath.sol', 'ERC677.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'Token677.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
