similarity,combination
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol']
12,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol']
3,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'SmartOracle.sol', 'LinkToken.sol', 'ERC20.sol']
