similarity,combination
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
4,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'StandardToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'SmartOracle.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'SmartOracle.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'SmartOracle.sol', 'TokenSale.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
9,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
7,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
5,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
5,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
8,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
6,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
12,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
6,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
4,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
7,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
11,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
4,['SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
4,['SmartOracle.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
5,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
4,['SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
8,['SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
6,['SmartOracle.sol', 'StandardTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SmartOracle.sol', 'StandardTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
10,['SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'TokenSale.sol']
7,['SmartOracle.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
4,['SmartOracle.sol', 'StandardToken.sol', 'TokenSale.sol', 'ERC20.sol']
9,['SmartOracle.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
16,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
14,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
21,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
10,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
3,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
6,['ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
21,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
