similarity,combination
1,['Ownable.sol', 'SafeMath.sol']
1,['Ownable.sol', 'Standard223Token.sol']
2,['Ownable.sol', 'LinkReceiver.sol']
2,['Ownable.sol', 'Standard223Receiver.sol']
8,['Ownable.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'Token223Receiver.sol']
1,['Ownable.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'StandardToken.sol']
1,['Ownable.sol', 'ERC223.sol']
2,['Ownable.sol', 'LinkToken.sol']
1,['Ownable.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'BasicToken.sol']
5,['Ownable.sol', 'ERC20.sol']
2,['Ownable.sol', 'Token223.sol']
3,['SafeMath.sol', 'Standard223Token.sol']
1,['SafeMath.sol', 'LinkReceiver.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
2,['SafeMath.sol', 'Token223Receiver.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'ERC223.sol']
2,['SafeMath.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol']
1,['Standard223Token.sol', 'Standard223Receiver.sol']
5,['Standard223Token.sol', 'ERC20Basic.sol']
1,['Standard223Token.sol', 'Token223Receiver.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol']
5,['Standard223Token.sol', 'StandardToken.sol']
1,['Standard223Token.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'LinkToken.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'Standard223Receiver.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'Token223.sol']
4,['Standard223Receiver.sol', 'ERC20Basic.sol']
1,['Standard223Receiver.sol', 'Token223Receiver.sol']
1,['Standard223Receiver.sol', 'BasicTokenMock.sol']
1,['Standard223Receiver.sol', 'StandardTokenMock.sol']
3,['Standard223Receiver.sol', 'StandardToken.sol']
1,['Standard223Receiver.sol', 'ERC223.sol']
1,['Standard223Receiver.sol', 'LinkToken.sol']
1,['Standard223Receiver.sol', 'ERC223Receiver.sol']
1,['Standard223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Receiver.sol', 'BasicToken.sol']
2,['Standard223Receiver.sol', 'ERC20.sol']
2,['Standard223Receiver.sol', 'Token223.sol']
5,['ERC20Basic.sol', 'Token223Receiver.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol']
11,['ERC20Basic.sol', 'StandardToken.sol']
6,['ERC20Basic.sol', 'ERC223.sol']
8,['ERC20Basic.sol', 'LinkToken.sol']
6,['ERC20Basic.sol', 'ERC223Receiver.sol']
5,['ERC20Basic.sol', 'Token223ReceiverMock.sol']
4,['ERC20Basic.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'Token223.sol']
1,['Token223Receiver.sol', 'BasicTokenMock.sol']
1,['Token223Receiver.sol', 'StandardTokenMock.sol']
3,['Token223Receiver.sol', 'StandardToken.sol']
1,['Token223Receiver.sol', 'ERC223.sol']
1,['Token223Receiver.sol', 'LinkToken.sol']
1,['Token223Receiver.sol', 'ERC223Receiver.sol']
1,['Token223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Token223Receiver.sol', 'BasicToken.sol']
2,['Token223Receiver.sol', 'ERC20.sol']
2,['Token223Receiver.sol', 'Token223.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['BasicTokenMock.sol', 'StandardToken.sol']
1,['BasicTokenMock.sol', 'ERC223.sol']
2,['BasicTokenMock.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['BasicTokenMock.sol', 'Token223ReceiverMock.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol']
5,['BasicTokenMock.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'Token223.sol']
6,['StandardTokenMock.sol', 'StandardToken.sol']
1,['StandardTokenMock.sol', 'ERC223.sol']
2,['StandardTokenMock.sol', 'LinkToken.sol']
1,['StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol']
5,['StandardTokenMock.sol', 'ERC20.sol']
1,['StandardTokenMock.sol', 'Token223.sol']
2,['StandardToken.sol', 'ERC223.sol']
9,['StandardToken.sol', 'LinkToken.sol']
3,['StandardToken.sol', 'ERC223Receiver.sol']
3,['StandardToken.sol', 'Token223ReceiverMock.sol']
10,['StandardToken.sol', 'BasicToken.sol']
9,['StandardToken.sol', 'ERC20.sol']
4,['StandardToken.sol', 'Token223.sol']
4,['ERC223.sol', 'LinkToken.sol']
2,['ERC223.sol', 'ERC223Receiver.sol']
2,['ERC223.sol', 'Token223ReceiverMock.sol']
2,['ERC223.sol', 'BasicToken.sol']
6,['ERC223.sol', 'ERC20.sol']
2,['ERC223.sol', 'Token223.sol']
2,['LinkToken.sol', 'ERC223Receiver.sol']
1,['LinkToken.sol', 'Token223ReceiverMock.sol']
5,['LinkToken.sol', 'BasicToken.sol']
4,['LinkToken.sol', 'ERC20.sol']
3,['LinkToken.sol', 'Token223.sol']
1,['ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['ERC223Receiver.sol', 'BasicToken.sol']
4,['ERC223Receiver.sol', 'ERC20.sol']
1,['ERC223Receiver.sol', 'Token223.sol']
2,['Token223ReceiverMock.sol', 'BasicToken.sol']
4,['Token223ReceiverMock.sol', 'ERC20.sol']
2,['Token223ReceiverMock.sol', 'Token223.sol']
4,['BasicToken.sol', 'ERC20.sol']
3,['BasicToken.sol', 'Token223.sol']
6,['ERC20.sol', 'Token223.sol']
