similarity,combination
1,['Ownable.sol', 'SafeMath.sol']
4,['Ownable.sol', 'LinkReceiver.sol']
8,['Ownable.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'StandardToken.sol']
4,['Ownable.sol', 'ERC677Receiver.sol']
3,['Ownable.sol', 'LinkToken.sol']
6,['Ownable.sol', 'BasicToken.sol']
2,['Ownable.sol', 'TokenSale.sol']
5,['Ownable.sol', 'ERC20.sol']
3,['SafeMath.sol', 'LinkReceiver.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'ERC677Receiver.sol']
3,['SafeMath.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'ERC20.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol']
5,['LinkReceiver.sol', 'StandardToken.sol']
5,['LinkReceiver.sol', 'ERC677Receiver.sol']
5,['LinkReceiver.sol', 'LinkToken.sol']
7,['LinkReceiver.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'TokenSale.sol']
7,['LinkReceiver.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol']
11,['ERC20Basic.sol', 'StandardToken.sol']
5,['ERC20Basic.sol', 'ERC677Receiver.sol']
8,['ERC20Basic.sol', 'LinkToken.sol']
4,['ERC20Basic.sol', 'BasicToken.sol']
8,['ERC20Basic.sol', 'TokenSale.sol']
4,['ERC20Basic.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['BasicTokenMock.sol', 'StandardToken.sol']
4,['BasicTokenMock.sol', 'ERC677Receiver.sol']
4,['BasicTokenMock.sol', 'LinkToken.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'TokenSale.sol']
5,['BasicTokenMock.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'StandardToken.sol']
4,['StandardTokenMock.sol', 'ERC677Receiver.sol']
4,['StandardTokenMock.sol', 'LinkToken.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol']
2,['StandardTokenMock.sol', 'TokenSale.sol']
5,['StandardTokenMock.sol', 'ERC20.sol']
5,['StandardToken.sol', 'ERC677Receiver.sol']
8,['StandardToken.sol', 'LinkToken.sol']
10,['StandardToken.sol', 'BasicToken.sol']
9,['StandardToken.sol', 'TokenSale.sol']
9,['StandardToken.sol', 'ERC20.sol']
5,['ERC677Receiver.sol', 'LinkToken.sol']
5,['ERC677Receiver.sol', 'BasicToken.sol']
5,['ERC677Receiver.sol', 'TokenSale.sol']
6,['ERC677Receiver.sol', 'ERC20.sol']
6,['LinkToken.sol', 'BasicToken.sol']
3,['LinkToken.sol', 'TokenSale.sol']
6,['LinkToken.sol', 'ERC20.sol']
6,['BasicToken.sol', 'TokenSale.sol']
4,['BasicToken.sol', 'ERC20.sol']
7,['TokenSale.sol', 'ERC20.sol']
