similarity,combination
1,['Ownable.sol', 'SafeMath.sol']
1,['Ownable.sol', 'Standard223TokenExample.sol']
1,['Ownable.sol', 'Standard223TokenReceiverExample.sol']
1,['Ownable.sol', 'Standard223Token.sol']
2,['Ownable.sol', 'LinkReceiver.sol']
2,['Ownable.sol', 'Standard223TokenReceiverTest.sol']
1,['Ownable.sol', 'Standard223Receiver.sol']
1,['Ownable.sol', 'SmartOracle.sol']
8,['Ownable.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'StandardToken.sol']
1,['Ownable.sol', 'ERC223.sol']
2,['Ownable.sol', 'LinkToken.sol']
1,['Ownable.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'BasicToken.sol']
2,['Ownable.sol', 'TokenSale.sol']
4,['Ownable.sol', 'ERC20.sol']
2,['Ownable.sol', 'Standard223TokenReceiverMock.sol']
1,['SafeMath.sol', 'Standard223TokenExample.sol']
2,['SafeMath.sol', 'Standard223TokenReceiverExample.sol']
3,['SafeMath.sol', 'Standard223Token.sol']
2,['SafeMath.sol', 'LinkReceiver.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverTest.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol']
1,['SafeMath.sol', 'SmartOracle.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
1,['SafeMath.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'ERC223.sol']
2,['SafeMath.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'TokenSale.sol']
2,['SafeMath.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223TokenReceiverMock.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol']
2,['Standard223TokenExample.sol', 'LinkReceiver.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverTest.sol']
1,['Standard223TokenExample.sol', 'Standard223Receiver.sol']
1,['Standard223TokenExample.sol', 'SmartOracle.sol']
6,['Standard223TokenExample.sol', 'ERC20Basic.sol']
1,['Standard223TokenExample.sol', 'BasicTokenMock.sol']
1,['Standard223TokenExample.sol', 'StandardTokenMock.sol']
2,['Standard223TokenExample.sol', 'StandardToken.sol']
1,['Standard223TokenExample.sol', 'ERC223.sol']
2,['Standard223TokenExample.sol', 'LinkToken.sol']
1,['Standard223TokenExample.sol', 'ERC223Receiver.sol']
2,['Standard223TokenExample.sol', 'BasicToken.sol']
2,['Standard223TokenExample.sol', 'TokenSale.sol']
4,['Standard223TokenExample.sol', 'ERC20.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverMock.sol']
1,['Standard223TokenReceiverExample.sol', 'Standard223Token.sol']
1,['Standard223TokenReceiverExample.sol', 'LinkReceiver.sol']
