similarity,combination
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol']
15,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
10,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
10,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
13,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
11,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
11,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
13,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
9,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
13,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
5,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol', 'ERC20.sol']
16,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'TokenSale.sol']
15,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol', 'TokenSale.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
10,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
11,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
10,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
10,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
12,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
14,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
5,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
3,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
10,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'TokenSale.sol']
