similarity,combination
37,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
33,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'Token677.sol']
36,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
34,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol', 'Token677.sol']
44,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
34,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol', 'Token677.sol', 'ERC20.sol']
34,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol', 'Token677.sol']
39,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'BasicToken.sol', 'ERC20.sol']
34,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol', 'Token677.sol', 'ERC20.sol']
40,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol', 'Token677.sol', 'ERC20.sol']
36,['SafeMath.sol', 'ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol', 'BasicToken.sol', 'Token677.sol']
