similarity,combination
6,['SafeMath.sol', 'ERC677Token.sol']
1,['SafeMath.sol', 'LinkReceiver.sol']
4,['SafeMath.sol', 'ERC677.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
2,['SafeMath.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'Token677ReceiverMock.sol']
1,['SafeMath.sol', 'ERC677Receiver.sol']
2,['SafeMath.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'NotERC677Compatible.sol']
1,['SafeMath.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Token677.sol']
2,['SafeMath.sol', 'ERC20.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol']
2,['ERC677Token.sol', 'ERC677.sol']
11,['ERC677Token.sol', 'ERC20Basic.sol']
5,['ERC677Token.sol', 'BasicTokenMock.sol']
4,['ERC677Token.sol', 'StandardTokenMock.sol']
10,['ERC677Token.sol', 'StandardToken.sol']
2,['ERC677Token.sol', 'Token677ReceiverMock.sol']
2,['ERC677Token.sol', 'ERC677Receiver.sol']
8,['ERC677Token.sol', 'LinkToken.sol']
1,['ERC677Token.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'BasicToken.sol']
5,['ERC677Token.sol', 'Token677.sol']
6,['ERC677Token.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC677.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol']
3,['LinkReceiver.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'Token677ReceiverMock.sol']
2,['LinkReceiver.sol', 'ERC677Receiver.sol']
4,['LinkReceiver.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'ERC20.sol']
8,['ERC677.sol', 'ERC20Basic.sol']
3,['ERC677.sol', 'BasicTokenMock.sol']
3,['ERC677.sol', 'StandardTokenMock.sol']
7,['ERC677.sol', 'StandardToken.sol']
4,['ERC677.sol', 'Token677ReceiverMock.sol']
3,['ERC677.sol', 'ERC677Receiver.sol']
5,['ERC677.sol', 'LinkToken.sol']
1,['ERC677.sol', 'NotERC677Compatible.sol']
6,['ERC677.sol', 'BasicToken.sol']
4,['ERC677.sol', 'Token677.sol']
7,['ERC677.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol']
13,['ERC20Basic.sol', 'StandardToken.sol']
7,['ERC20Basic.sol', 'Token677ReceiverMock.sol']
8,['ERC20Basic.sol', 'ERC677Receiver.sol']
7,['ERC20Basic.sol', 'LinkToken.sol']
4,['ERC20Basic.sol', 'NotERC677Compatible.sol']
4,['ERC20Basic.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Token677.sol']
4,['ERC20Basic.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
6,['BasicTokenMock.sol', 'StandardToken.sol']
1,['BasicTokenMock.sol', 'Token677ReceiverMock.sol']
2,['BasicTokenMock.sol', 'ERC677Receiver.sol']
3,['BasicTokenMock.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'NotERC677Compatible.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol']
2,['BasicTokenMock.sol', 'Token677.sol']
5,['BasicTokenMock.sol', 'ERC20.sol']
6,['StandardTokenMock.sol', 'StandardToken.sol']
1,['StandardTokenMock.sol', 'Token677ReceiverMock.sol']
3,['StandardTokenMock.sol', 'ERC677Receiver.sol']
3,['StandardTokenMock.sol', 'LinkToken.sol']
1,['StandardTokenMock.sol', 'NotERC677Compatible.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol']
2,['StandardTokenMock.sol', 'Token677.sol']
5,['StandardTokenMock.sol', 'ERC20.sol']
3,['StandardToken.sol', 'Token677ReceiverMock.sol']
4,['StandardToken.sol', 'ERC677Receiver.sol']
9,['StandardToken.sol', 'LinkToken.sol']
6,['StandardToken.sol', 'NotERC677Compatible.sol']
11,['StandardToken.sol', 'BasicToken.sol']
9,['StandardToken.sol', 'Token677.sol']
10,['StandardToken.sol', 'ERC20.sol']
2,['Token677ReceiverMock.sol', 'ERC677Receiver.sol']
3,['Token677ReceiverMock.sol', 'LinkToken.sol']
3,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
6,['Token677ReceiverMock.sol', 'BasicToken.sol']
3,['Token677ReceiverMock.sol', 'Token677.sol']
6,['Token677ReceiverMock.sol', 'ERC20.sol']
4,['ERC677Receiver.sol', 'LinkToken.sol']
6,['ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['ERC677Receiver.sol', 'BasicToken.sol']
1,['ERC677Receiver.sol', 'Token677.sol']
7,['ERC677Receiver.sol', 'ERC20.sol']
4,['LinkToken.sol', 'NotERC677Compatible.sol']
6,['LinkToken.sol', 'BasicToken.sol']
7,['LinkToken.sol', 'Token677.sol']
5,['LinkToken.sol', 'ERC20.sol']
6,['NotERC677Compatible.sol', 'BasicToken.sol']
1,['NotERC677Compatible.sol', 'Token677.sol']
5,['NotERC677Compatible.sol', 'ERC20.sol']
11,['BasicToken.sol', 'Token677.sol']
4,['BasicToken.sol', 'ERC20.sol']
5,['Token677.sol', 'ERC20.sol']
