similarity,combination
3,['SafeMath.sol', 'Standard223Token.sol']
1,['SafeMath.sol', 'LinkReceiver.sol']
3,['SafeMath.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol']
2,['SafeMath.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'ERC223.sol']
2,['SafeMath.sol', 'NotERC223Compatible.sol']
2,['SafeMath.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol']
6,['Standard223Token.sol', 'ERC20Basic.sol']
1,['Standard223Token.sol', 'BasicTokenMock.sol']
1,['Standard223Token.sol', 'StandardTokenMock.sol']
5,['Standard223Token.sol', 'StandardToken.sol']
1,['Standard223Token.sol', 'ERC223.sol']
1,['Standard223Token.sol', 'NotERC223Compatible.sol']
1,['Standard223Token.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'ERC223Receiver.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'Token223.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol']
3,['LinkReceiver.sol', 'StandardToken.sol']
1,['LinkReceiver.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'NotERC223Compatible.sol']
2,['LinkReceiver.sol', 'LinkToken.sol']
1,['LinkReceiver.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol']
13,['ERC20Basic.sol', 'StandardToken.sol']
6,['ERC20Basic.sol', 'ERC223.sol']
3,['ERC20Basic.sol', 'NotERC223Compatible.sol']
6,['ERC20Basic.sol', 'LinkToken.sol']
6,['ERC20Basic.sol', 'ERC223Receiver.sol']
6,['ERC20Basic.sol', 'Token223ReceiverMock.sol']
4,['ERC20Basic.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'Token223.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
6,['BasicTokenMock.sol', 'StandardToken.sol']
1,['BasicTokenMock.sol', 'ERC223.sol']
1,['BasicTokenMock.sol', 'NotERC223Compatible.sol']
2,['BasicTokenMock.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['BasicTokenMock.sol', 'Token223ReceiverMock.sol']
6,['BasicTokenMock.sol', 'BasicToken.sol']
5,['BasicTokenMock.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'Token223.sol']
6,['StandardTokenMock.sol', 'StandardToken.sol']
1,['StandardTokenMock.sol', 'ERC223.sol']
1,['StandardTokenMock.sol', 'NotERC223Compatible.sol']
2,['StandardTokenMock.sol', 'LinkToken.sol']
1,['StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['StandardTokenMock.sol', 'BasicToken.sol']
5,['StandardTokenMock.sol', 'ERC20.sol']
1,['StandardTokenMock.sol', 'Token223.sol']
3,['StandardToken.sol', 'ERC223.sol']
3,['StandardToken.sol', 'NotERC223Compatible.sol']
8,['StandardToken.sol', 'LinkToken.sol']
4,['StandardToken.sol', 'ERC223Receiver.sol']
3,['StandardToken.sol', 'Token223ReceiverMock.sol']
11,['StandardToken.sol', 'BasicToken.sol']
10,['StandardToken.sol', 'ERC20.sol']
15,['StandardToken.sol', 'Token223.sol']
1,['ERC223.sol', 'NotERC223Compatible.sol']
4,['ERC223.sol', 'LinkToken.sol']
2,['ERC223.sol', 'ERC223Receiver.sol']
2,['ERC223.sol', 'Token223ReceiverMock.sol']
2,['ERC223.sol', 'BasicToken.sol']
6,['ERC223.sol', 'ERC20.sol']
2,['ERC223.sol', 'Token223.sol']
2,['NotERC223Compatible.sol', 'LinkToken.sol']
7,['NotERC223Compatible.sol', 'ERC223Receiver.sol']
2,['NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
2,['NotERC223Compatible.sol', 'BasicToken.sol']
5,['NotERC223Compatible.sol', 'ERC20.sol']
1,['NotERC223Compatible.sol', 'Token223.sol']
1,['LinkToken.sol', 'ERC223Receiver.sol']
1,['LinkToken.sol', 'Token223ReceiverMock.sol']
5,['LinkToken.sol', 'BasicToken.sol']
4,['LinkToken.sol', 'ERC20.sol']
3,['LinkToken.sol', 'Token223.sol']
1,['ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['ERC223Receiver.sol', 'BasicToken.sol']
4,['ERC223Receiver.sol', 'ERC20.sol']
1,['ERC223Receiver.sol', 'Token223.sol']
6,['Token223ReceiverMock.sol', 'BasicToken.sol']
4,['Token223ReceiverMock.sol', 'ERC20.sol']
3,['Token223ReceiverMock.sol', 'Token223.sol']
4,['BasicToken.sol', 'ERC20.sol']
3,['BasicToken.sol', 'Token223.sol']
6,['ERC20.sol', 'Token223.sol']
