similarity,combination
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'Migrations.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkBasicToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'LinkToken.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'Token677.sol']
40,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'flattened.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
11,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'Migrations.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
2,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
