similarity,combination
4,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223BasicToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223BasicToken.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Basic.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC223BasicToken.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'ERC223BasicToken.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC223BasicToken.sol', 'StandardToken.sol']
3,['SafeMath.sol', 'ERC223BasicToken.sol', 'ERC223.sol']
1,['SafeMath.sol', 'ERC223BasicToken.sol', 'NotERC223Compatible.sol']
6,['SafeMath.sol', 'ERC223BasicToken.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'ERC223BasicToken.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC223BasicToken.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'ERC223BasicToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC223BasicToken.sol', 'ERC223Basic.sol']
3,['SafeMath.sol', 'ERC223BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC223BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol']
3,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
3,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol']
2,['SafeMath.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
12,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223Basic.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'StandardToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
1,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC223.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'ERC223.sol', 'ERC223Basic.sol']
3,['SafeMath.sol', 'ERC223.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223.sol', 'Token223.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'ERC223Basic.sol']
2,['SafeMath.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
1,['SafeMath.sol', 'NotERC223Compatible.sol', 'Token223.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC223Basic.sol']
1,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
