similarity,combination
1,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol']
1,['Ownable.sol', 'SafeMath.sol', 'LinkReceiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Token223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223.sol']
2,['Ownable.sol', 'SafeMath.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Token223ReceiverMock.sol']
2,['Ownable.sol', 'SafeMath.sol', 'BasicToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Token223.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'Standard223Token.sol', 'BasicToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC20.sol']
5,['Ownable.sol', 'Standard223Token.sol', 'Token223.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
8,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223Receiver.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'ERC223.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicToken.sol']
7,['Ownable.sol', 'LinkReceiver.sol', 'ERC20.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Token223.sol']
4,['Ownable.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
4,['Ownable.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'ERC223.sol']
3,['Ownable.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
5,['Ownable.sol', 'Standard223Receiver.sol', 'ERC20.sol']
3,['Ownable.sol', 'Standard223Receiver.sol', 'Token223.sol']
3,['Ownable.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
9,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['Ownable.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
12,['Ownable.sol', 'ERC20Basic.sol', 'StandardToken.sol']
4,['Ownable.sol', 'ERC20Basic.sol', 'ERC223.sol']
11,['Ownable.sol', 'ERC20Basic.sol', 'LinkToken.sol']
4,['Ownable.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
5,['Ownable.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['Ownable.sol', 'ERC20Basic.sol', 'ERC20.sol']
5,['Ownable.sol', 'ERC20Basic.sol', 'Token223.sol']
1,['Ownable.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'Token223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Token223Receiver.sol', 'ERC223.sol']
3,['Ownable.sol', 'Token223Receiver.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'Token223Receiver.sol', 'BasicToken.sol']
3,['Ownable.sol', 'Token223Receiver.sol', 'ERC20.sol']
3,['Ownable.sol', 'Token223Receiver.sol', 'Token223.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
8,['Ownable.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'BasicTokenMock.sol', 'Token223.sol']
6,['Ownable.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['Ownable.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
