similarity,combination
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'linkSafeMath.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'Migrations.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'linkBasicToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677Receiver.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20Basic.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'Token677.sol']
51,['ERC677Token.sol', 'LinkReceiver.sol', 'flattened.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'linkERC20.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkSafeMath.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'BasicTokenMock.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'StandardTokenMock.sol']
5,['ERC677Token.sol', 'ERC677.sol', 'Migrations.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
7,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol']
13,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'linkStandardToken.sol']
2,['ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'Token677.sol']
55,['ERC677Token.sol', 'ERC677.sol', 'flattened.sol']
6,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
6,['ERC677Token.sol', 'linkERC20.sol', 'Migrations.sol']
