similarity,combination
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'Token223.sol']
