similarity,combination
7,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'flap.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'heal.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'heal.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'bite.sol']
5,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol']
6,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flap.t.sol']
5,['flop.sol', 'join.sol', 'transferFrom.sol', 'heal.sol']
1,['flop.sol', 'join.sol', 'transferFrom.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'transferFrom.sol', 'heal.t.sol']
8,['flop.sol', 'join.sol', 'transferFrom.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.t.sol']
6,['flop.sol', 'join.sol', 'transferFrom.sol', 'tune.sol']
5,['flop.sol', 'join.sol', 'transferFrom.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'frob.sol', 'flip.t.sol']
6,['flop.sol', 'join.sol', 'frob.sol', 'flop.t.sol']
6,['flop.sol', 'join.sol', 'frob.sol', 'flap.t.sol']
2,['flop.sol', 'join.sol', 'frob.sol', 'heal.sol']
3,['flop.sol', 'join.sol', 'frob.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'frob.sol', 'heal.t.sol']
3,['flop.sol', 'join.sol', 'frob.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'frob.sol', 'drip.sol']
5,['flop.sol', 'join.sol', 'frob.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'frob.sol', 'tune.sol']
4,['flop.sol', 'join.sol', 'frob.sol', 'bite.sol']
6,['flop.sol', 'join.sol', 'flip.t.sol', 'flop.t.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.t.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol', 'heal.t.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'drip.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.t.sol', 'tune.sol']
3,['flop.sol', 'join.sol', 'flip.t.sol', 'bite.sol']
5,['flop.sol', 'join.sol', 'flop.t.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'flop.t.sol', 'heal.sol']
4,['flop.sol', 'join.sol', 'flop.t.sol', 'drip.t.sol']
6,['flop.sol', 'join.sol', 'flop.t.sol', 'heal.t.sol']
