similarity,combination
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['flop.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
1,['vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'move.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol']
