similarity,combination
7,['flop.sol', 'vow.t.sol', 'join.sol']
6,['flop.sol', 'vow.t.sol', 'flip.sol']
5,['flop.sol', 'vow.t.sol', 'vow.sol']
3,['flop.sol', 'vow.t.sol', 'flip.t.sol']
3,['flop.sol', 'vow.t.sol', 'end.t.sol']
6,['flop.sol', 'vow.t.sol', 'vat.sol']
4,['flop.sol', 'vow.t.sol', 'flop.t.sol']
5,['flop.sol', 'vow.t.sol', 'jug.sol']
5,['flop.sol', 'vow.t.sol', 'cat.sol']
6,['flop.sol', 'vow.t.sol', 'dai.sol']
5,['flop.sol', 'vow.t.sol', 'fork.t.sol']
5,['flop.sol', 'vow.t.sol', 'flap.t.sol']
3,['flop.sol', 'vow.t.sol', 'vat.t.sol']
5,['flop.sol', 'vow.t.sol', 'lib.sol']
4,['flop.sol', 'vow.t.sol', 'jug.t.sol']
5,['flop.sol', 'vow.t.sol', 'flap.sol']
4,['flop.sol', 'vow.t.sol', 'end.sol']
5,['flop.sol', 'vow.t.sol', 'dai.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol']
7,['flop.sol', 'join.sol', 'vow.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol']
3,['flop.sol', 'join.sol', 'end.t.sol']
6,['flop.sol', 'join.sol', 'vat.sol']
7,['flop.sol', 'join.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'jug.sol']
6,['flop.sol', 'join.sol', 'cat.sol']
14,['flop.sol', 'join.sol', 'dai.sol']
6,['flop.sol', 'join.sol', 'fork.t.sol']
6,['flop.sol', 'join.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'vat.t.sol']
8,['flop.sol', 'join.sol', 'lib.sol']
6,['flop.sol', 'join.sol', 'jug.t.sol']
6,['flop.sol', 'join.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'end.sol']
5,['flop.sol', 'join.sol', 'dai.t.sol']
4,['flop.sol', 'flip.sol', 'vow.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol']
3,['flop.sol', 'flip.sol', 'end.t.sol']
5,['flop.sol', 'flip.sol', 'vat.sol']
6,['flop.sol', 'flip.sol', 'flop.t.sol']
4,['flop.sol', 'flip.sol', 'jug.sol']
5,['flop.sol', 'flip.sol', 'cat.sol']
14,['flop.sol', 'flip.sol', 'dai.sol']
4,['flop.sol', 'flip.sol', 'fork.t.sol']
5,['flop.sol', 'flip.sol', 'flap.t.sol']
3,['flop.sol', 'flip.sol', 'vat.t.sol']
8,['flop.sol', 'flip.sol', 'lib.sol']
7,['flop.sol', 'flip.sol', 'jug.t.sol']
4,['flop.sol', 'flip.sol', 'flap.sol']
3,['flop.sol', 'flip.sol', 'end.sol']
4,['flop.sol', 'flip.sol', 'dai.t.sol']
4,['flop.sol', 'vow.sol', 'flip.t.sol']
3,['flop.sol', 'vow.sol', 'end.t.sol']
5,['flop.sol', 'vow.sol', 'vat.sol']
5,['flop.sol', 'vow.sol', 'flop.t.sol']
4,['flop.sol', 'vow.sol', 'jug.sol']
5,['flop.sol', 'vow.sol', 'cat.sol']
12,['flop.sol', 'vow.sol', 'dai.sol']
5,['flop.sol', 'vow.sol', 'fork.t.sol']
4,['flop.sol', 'vow.sol', 'flap.t.sol']
3,['flop.sol', 'vow.sol', 'vat.t.sol']
6,['flop.sol', 'vow.sol', 'lib.sol']
5,['flop.sol', 'vow.sol', 'jug.t.sol']
4,['flop.sol', 'vow.sol', 'flap.sol']
3,['flop.sol', 'vow.sol', 'end.sol']
4,['flop.sol', 'vow.sol', 'dai.t.sol']
3,['flop.sol', 'flip.t.sol', 'end.t.sol']
4,['flop.sol', 'flip.t.sol', 'vat.sol']
3,['flop.sol', 'flip.t.sol', 'flop.t.sol']
4,['flop.sol', 'flip.t.sol', 'jug.sol']
4,['flop.sol', 'flip.t.sol', 'cat.sol']
14,['flop.sol', 'flip.t.sol', 'dai.sol']
4,['flop.sol', 'flip.t.sol', 'fork.t.sol']
3,['flop.sol', 'flip.t.sol', 'flap.t.sol']
3,['flop.sol', 'flip.t.sol', 'vat.t.sol']
5,['flop.sol', 'flip.t.sol', 'lib.sol']
4,['flop.sol', 'flip.t.sol', 'jug.t.sol']
4,['flop.sol', 'flip.t.sol', 'flap.sol']
3,['flop.sol', 'flip.t.sol', 'end.sol']
6,['flop.sol', 'flip.t.sol', 'dai.t.sol']
3,['flop.sol', 'end.t.sol', 'vat.sol']
3,['flop.sol', 'end.t.sol', 'flop.t.sol']
3,['flop.sol', 'end.t.sol', 'jug.sol']
3,['flop.sol', 'end.t.sol', 'cat.sol']
3,['flop.sol', 'end.t.sol', 'dai.sol']
3,['flop.sol', 'end.t.sol', 'fork.t.sol']
3,['flop.sol', 'end.t.sol', 'flap.t.sol']
3,['flop.sol', 'end.t.sol', 'vat.t.sol']
3,['flop.sol', 'end.t.sol', 'lib.sol']
3,['flop.sol', 'end.t.sol', 'jug.t.sol']
3,['flop.sol', 'end.t.sol', 'flap.sol']
3,['flop.sol', 'end.t.sol', 'end.sol']
4,['flop.sol', 'end.t.sol', 'dai.t.sol']
6,['flop.sol', 'vat.sol', 'flop.t.sol']
5,['flop.sol', 'vat.sol', 'jug.sol']
2,['flop.sol', 'vat.sol', 'cat.sol']
9,['flop.sol', 'vat.sol', 'dai.sol']
5,['flop.sol', 'vat.sol', 'fork.t.sol']
6,['flop.sol', 'vat.sol', 'flap.t.sol']
3,['flop.sol', 'vat.sol', 'vat.t.sol']
6,['flop.sol', 'vat.sol', 'lib.sol']
3,['flop.sol', 'vat.sol', 'jug.t.sol']
6,['flop.sol', 'vat.sol', 'flap.sol']
2,['flop.sol', 'vat.sol', 'end.sol']
3,['flop.sol', 'vat.sol', 'dai.t.sol']
5,['flop.sol', 'flop.t.sol', 'jug.sol']
5,['flop.sol', 'flop.t.sol', 'cat.sol']
13,['flop.sol', 'flop.t.sol', 'dai.sol']
6,['flop.sol', 'flop.t.sol', 'fork.t.sol']
4,['flop.sol', 'flop.t.sol', 'flap.t.sol']
3,['flop.sol', 'flop.t.sol', 'vat.t.sol']
7,['flop.sol', 'flop.t.sol', 'lib.sol']
5,['flop.sol', 'flop.t.sol', 'jug.t.sol']
5,['flop.sol', 'flop.t.sol', 'flap.sol']
4,['flop.sol', 'flop.t.sol', 'end.sol']
4,['flop.sol', 'flop.t.sol', 'dai.t.sol']
2,['flop.sol', 'jug.sol', 'cat.sol']
9,['flop.sol', 'jug.sol', 'dai.sol']
5,['flop.sol', 'jug.sol', 'fork.t.sol']
5,['flop.sol', 'jug.sol', 'flap.t.sol']
3,['flop.sol', 'jug.sol', 'vat.t.sol']
5,['flop.sol', 'jug.sol', 'lib.sol']
3,['flop.sol', 'jug.sol', 'jug.t.sol']
5,['flop.sol', 'jug.sol', 'flap.sol']
2,['flop.sol', 'jug.sol', 'end.sol']
4,['flop.sol', 'jug.sol', 'dai.t.sol']
15,['flop.sol', 'cat.sol', 'dai.sol']
4,['flop.sol', 'cat.sol', 'fork.t.sol']
5,['flop.sol', 'cat.sol', 'flap.t.sol']
3,['flop.sol', 'cat.sol', 'vat.t.sol']
4,['flop.sol', 'cat.sol', 'lib.sol']
1,['flop.sol', 'cat.sol', 'jug.t.sol']
5,['flop.sol', 'cat.sol', 'flap.sol']
2,['flop.sol', 'cat.sol', 'end.sol']
4,['flop.sol', 'cat.sol', 'dai.t.sol']
9,['flop.sol', 'dai.sol', 'fork.t.sol']
13,['flop.sol', 'dai.sol', 'flap.t.sol']
3,['flop.sol', 'dai.sol', 'vat.t.sol']
21,['flop.sol', 'dai.sol', 'lib.sol']
5,['flop.sol', 'dai.sol', 'jug.t.sol']
14,['flop.sol', 'dai.sol', 'flap.sol']
9,['flop.sol', 'dai.sol', 'end.sol']
8,['flop.sol', 'dai.sol', 'dai.t.sol']
5,['flop.sol', 'fork.t.sol', 'flap.t.sol']
3,['flop.sol', 'fork.t.sol', 'vat.t.sol']
7,['flop.sol', 'fork.t.sol', 'lib.sol']
5,['flop.sol', 'fork.t.sol', 'jug.t.sol']
