similarity,combination
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'heal.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'frob.sol', 'bite.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'heal.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flip.t.sol', 'bite.sol']
7,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'flap.t.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'heal.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'heal.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'frob.t.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flop.t.sol', 'bite.sol']
5,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol', 'heal.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol', 'heal.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol', 'frob.t.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'flap.t.sol', 'bite.sol']
6,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'heal.sol', 'heal.t.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'heal.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'heal.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'transferFrom.sol', 'heal.sol', 'bite.sol']
