similarity,combination
7,['flop.sol', 'vow.t.sol', 'join.sol']
6,['flop.sol', 'vow.t.sol', 'flip.sol']
6,['flop.sol', 'vow.t.sol', 'vow.sol']
3,['flop.sol', 'vow.t.sol', 'flip.t.sol']
4,['flop.sol', 'vow.t.sol', 'vat.sol']
5,['flop.sol', 'vow.t.sol', 'flop.t.sol']
5,['flop.sol', 'vow.t.sol', 'jug.sol']
5,['flop.sol', 'vow.t.sol', 'cat.sol']
6,['flop.sol', 'vow.t.sol', 'fork.t.sol']
4,['flop.sol', 'vow.t.sol', 'flap.t.sol']
3,['flop.sol', 'vow.t.sol', 'vat.t.sol']
4,['flop.sol', 'vow.t.sol', 'jug.t.sol']
6,['flop.sol', 'vow.t.sol', 'flap.sol']
6,['flop.sol', 'join.sol', 'flip.sol']
5,['flop.sol', 'join.sol', 'vow.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol']
4,['flop.sol', 'join.sol', 'vat.sol']
7,['flop.sol', 'join.sol', 'flop.t.sol']
4,['flop.sol', 'join.sol', 'jug.sol']
6,['flop.sol', 'join.sol', 'cat.sol']
5,['flop.sol', 'join.sol', 'fork.t.sol']
6,['flop.sol', 'join.sol', 'flap.t.sol']
4,['flop.sol', 'join.sol', 'vat.t.sol']
5,['flop.sol', 'join.sol', 'jug.t.sol']
6,['flop.sol', 'join.sol', 'flap.sol']
4,['flop.sol', 'flip.sol', 'vow.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol']
4,['flop.sol', 'flip.sol', 'vat.sol']
6,['flop.sol', 'flip.sol', 'flop.t.sol']
5,['flop.sol', 'flip.sol', 'jug.sol']
5,['flop.sol', 'flip.sol', 'cat.sol']
5,['flop.sol', 'flip.sol', 'fork.t.sol']
5,['flop.sol', 'flip.sol', 'flap.t.sol']
3,['flop.sol', 'flip.sol', 'vat.t.sol']
6,['flop.sol', 'flip.sol', 'jug.t.sol']
4,['flop.sol', 'flip.sol', 'flap.sol']
4,['flop.sol', 'vow.sol', 'flip.t.sol']
4,['flop.sol', 'vow.sol', 'vat.sol']
5,['flop.sol', 'vow.sol', 'flop.t.sol']
4,['flop.sol', 'vow.sol', 'jug.sol']
4,['flop.sol', 'vow.sol', 'cat.sol']
5,['flop.sol', 'vow.sol', 'fork.t.sol']
4,['flop.sol', 'vow.sol', 'flap.t.sol']
3,['flop.sol', 'vow.sol', 'vat.t.sol']
5,['flop.sol', 'vow.sol', 'jug.t.sol']
4,['flop.sol', 'vow.sol', 'flap.sol']
3,['flop.sol', 'flip.t.sol', 'vat.sol']
4,['flop.sol', 'flip.t.sol', 'flop.t.sol']
4,['flop.sol', 'flip.t.sol', 'jug.sol']
5,['flop.sol', 'flip.t.sol', 'cat.sol']
4,['flop.sol', 'flip.t.sol', 'fork.t.sol']
3,['flop.sol', 'flip.t.sol', 'flap.t.sol']
3,['flop.sol', 'flip.t.sol', 'vat.t.sol']
4,['flop.sol', 'flip.t.sol', 'jug.t.sol']
