similarity,combination
4,['flop.sol', 'join.sol']
6,['flop.sol', 'flip.sol']
1,['flop.sol', 'transferFrom.sol']
6,['flop.sol', 'frob.sol']
5,['flop.sol', 'flip.t.sol']
4,['flop.sol', 'flop.t.sol']
4,['flop.sol', 'flap.t.sol']
6,['flop.sol', 'heal.sol']
5,['flop.sol', 'heal.t.sol']
4,['flop.sol', 'flap.sol']
4,['flop.sol', 'frob.t.sol']
6,['flop.sol', 'tune.sol']
6,['flop.sol', 'bite.sol']
4,['join.sol', 'flip.sol']
1,['join.sol', 'transferFrom.sol']
3,['join.sol', 'frob.sol']
6,['join.sol', 'flip.t.sol']
4,['join.sol', 'flop.t.sol']
4,['join.sol', 'flap.t.sol']
5,['join.sol', 'heal.sol']
4,['join.sol', 'heal.t.sol']
4,['join.sol', 'flap.sol']
4,['join.sol', 'frob.t.sol']
5,['join.sol', 'tune.sol']
4,['join.sol', 'bite.sol']
2,['flip.sol', 'transferFrom.sol']
5,['flip.sol', 'frob.sol']
6,['flip.sol', 'flip.t.sol']
6,['flip.sol', 'flop.t.sol']
6,['flip.sol', 'flap.t.sol']
6,['flip.sol', 'heal.sol']
6,['flip.sol', 'heal.t.sol']
5,['flip.sol', 'flap.sol']
4,['flip.sol', 'frob.t.sol']
5,['flip.sol', 'tune.sol']
6,['flip.sol', 'bite.sol']
2,['transferFrom.sol', 'frob.sol']
3,['transferFrom.sol', 'flip.t.sol']
2,['transferFrom.sol', 'flop.t.sol']
2,['transferFrom.sol', 'flap.t.sol']
3,['transferFrom.sol', 'heal.sol']
3,['transferFrom.sol', 'heal.t.sol']
2,['transferFrom.sol', 'flap.sol']
4,['transferFrom.sol', 'frob.t.sol']
3,['transferFrom.sol', 'tune.sol']
1,['transferFrom.sol', 'bite.sol']
5,['frob.sol', 'flip.t.sol']
4,['frob.sol', 'flop.t.sol']
4,['frob.sol', 'flap.t.sol']
4,['frob.sol', 'heal.sol']
6,['frob.sol', 'heal.t.sol']
5,['frob.sol', 'flap.sol']
4,['frob.sol', 'frob.t.sol']
5,['frob.sol', 'tune.sol']
3,['frob.sol', 'bite.sol']
6,['flip.t.sol', 'flop.t.sol']
5,['flip.t.sol', 'flap.t.sol']
5,['flip.t.sol', 'heal.sol']
4,['flip.t.sol', 'heal.t.sol']
5,['flip.t.sol', 'flap.sol']
5,['flip.t.sol', 'frob.t.sol']
5,['flip.t.sol', 'tune.sol']
6,['flip.t.sol', 'bite.sol']
3,['flop.t.sol', 'flap.t.sol']
5,['flop.t.sol', 'heal.sol']
4,['flop.t.sol', 'heal.t.sol']
4,['flop.t.sol', 'flap.sol']
4,['flop.t.sol', 'frob.t.sol']
6,['flop.t.sol', 'tune.sol']
5,['flop.t.sol', 'bite.sol']
5,['flap.t.sol', 'heal.sol']
4,['flap.t.sol', 'heal.t.sol']
5,['flap.t.sol', 'flap.sol']
4,['flap.t.sol', 'frob.t.sol']
6,['flap.t.sol', 'tune.sol']
4,['flap.t.sol', 'bite.sol']
6,['heal.sol', 'heal.t.sol']
6,['heal.sol', 'flap.sol']
4,['heal.sol', 'frob.t.sol']
4,['heal.sol', 'tune.sol']
6,['heal.sol', 'bite.sol']
6,['heal.t.sol', 'flap.sol']
4,['heal.t.sol', 'frob.t.sol']
5,['heal.t.sol', 'tune.sol']
5,['heal.t.sol', 'bite.sol']
4,['flap.sol', 'frob.t.sol']
6,['flap.sol', 'tune.sol']
6,['flap.sol', 'bite.sol']
4,['frob.t.sol', 'tune.sol']
4,['frob.t.sol', 'bite.sol']
4,['tune.sol', 'bite.sol']
