similarity,combination
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'flip.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'pit.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'flap.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flip.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'pit.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'vat.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vow.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'pit.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'move.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'flop.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'jug.t.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'pit.sol', 'jug.t.sol']
