similarity,combination
5,['flop.sol', 'join.sol']
7,['flop.sol', 'flip.sol']
5,['flop.sol', 'transferFrom.sol']
4,['flop.sol', 'frob.sol']
5,['flop.sol', 'flip.t.sol']
8,['flop.sol', 'flop.t.sol']
7,['flop.sol', 'flap.t.sol']
5,['flop.sol', 'heal.sol']
5,['flop.sol', 'drip.t.sol']
5,['flop.sol', 'heal.t.sol']
4,['flop.sol', 'flap.sol']
6,['flop.sol', 'drip.sol']
4,['flop.sol', 'frob.t.sol']
4,['flop.sol', 'tune.sol']
3,['flop.sol', 'bite.sol']
6,['join.sol', 'flip.sol']
2,['join.sol', 'transferFrom.sol']
5,['join.sol', 'frob.sol']
4,['join.sol', 'flip.t.sol']
4,['join.sol', 'flop.t.sol']
4,['join.sol', 'flap.t.sol']
5,['join.sol', 'heal.sol']
1,['join.sol', 'drip.t.sol']
7,['join.sol', 'heal.t.sol']
5,['join.sol', 'flap.sol']
2,['join.sol', 'drip.sol']
2,['join.sol', 'frob.t.sol']
4,['join.sol', 'tune.sol']
6,['join.sol', 'bite.sol']
4,['flip.sol', 'transferFrom.sol']
3,['flip.sol', 'frob.sol']
5,['flip.sol', 'flip.t.sol']
7,['flip.sol', 'flop.t.sol']
7,['flip.sol', 'flap.t.sol']
5,['flip.sol', 'heal.sol']
5,['flip.sol', 'drip.t.sol']
6,['flip.sol', 'heal.t.sol']
6,['flip.sol', 'flap.sol']
5,['flip.sol', 'drip.sol']
4,['flip.sol', 'frob.t.sol']
4,['flip.sol', 'tune.sol']
3,['flip.sol', 'bite.sol']
5,['transferFrom.sol', 'frob.sol']
7,['transferFrom.sol', 'flip.t.sol']
4,['transferFrom.sol', 'flop.t.sol']
7,['transferFrom.sol', 'flap.t.sol']
6,['transferFrom.sol', 'heal.sol']
3,['transferFrom.sol', 'drip.t.sol']
5,['transferFrom.sol', 'heal.t.sol']
3,['transferFrom.sol', 'flap.sol']
2,['transferFrom.sol', 'drip.sol']
2,['transferFrom.sol', 'frob.t.sol']
8,['transferFrom.sol', 'tune.sol']
6,['transferFrom.sol', 'bite.sol']
6,['frob.sol', 'flip.t.sol']
4,['frob.sol', 'flop.t.sol']
4,['frob.sol', 'flap.t.sol']
3,['frob.sol', 'heal.sol']
5,['frob.sol', 'drip.t.sol']
6,['frob.sol', 'heal.t.sol']
4,['frob.sol', 'flap.sol']
4,['frob.sol', 'drip.sol']
5,['frob.sol', 'frob.t.sol']
3,['frob.sol', 'tune.sol']
4,['frob.sol', 'bite.sol']
7,['flip.t.sol', 'flop.t.sol']
6,['flip.t.sol', 'flap.t.sol']
5,['flip.t.sol', 'heal.sol']
6,['flip.t.sol', 'drip.t.sol']
4,['flip.t.sol', 'heal.t.sol']
6,['flip.t.sol', 'flap.sol']
6,['flip.t.sol', 'drip.sol']
4,['flip.t.sol', 'frob.t.sol']
3,['flip.t.sol', 'tune.sol']
4,['flip.t.sol', 'bite.sol']
4,['flop.t.sol', 'flap.t.sol']
6,['flop.t.sol', 'heal.sol']
5,['flop.t.sol', 'drip.t.sol']
5,['flop.t.sol', 'heal.t.sol']
6,['flop.t.sol', 'flap.sol']
6,['flop.t.sol', 'drip.sol']
3,['flop.t.sol', 'frob.t.sol']
4,['flop.t.sol', 'tune.sol']
3,['flop.t.sol', 'bite.sol']
6,['flap.t.sol', 'heal.sol']
5,['flap.t.sol', 'drip.t.sol']
5,['flap.t.sol', 'heal.t.sol']
6,['flap.t.sol', 'flap.sol']
6,['flap.t.sol', 'drip.sol']
3,['flap.t.sol', 'frob.t.sol']
4,['flap.t.sol', 'tune.sol']
3,['flap.t.sol', 'bite.sol']
5,['heal.sol', 'drip.t.sol']
8,['heal.sol', 'heal.t.sol']
5,['heal.sol', 'flap.sol']
7,['heal.sol', 'drip.sol']
5,['heal.sol', 'frob.t.sol']
3,['heal.sol', 'tune.sol']
2,['heal.sol', 'bite.sol']
5,['drip.t.sol', 'heal.t.sol']
5,['drip.t.sol', 'flap.sol']
4,['drip.t.sol', 'drip.sol']
3,['drip.t.sol', 'frob.t.sol']
3,['drip.t.sol', 'tune.sol']
4,['drip.t.sol', 'bite.sol']
5,['heal.t.sol', 'flap.sol']
7,['heal.t.sol', 'drip.sol']
4,['heal.t.sol', 'frob.t.sol']
4,['heal.t.sol', 'tune.sol']
7,['heal.t.sol', 'bite.sol']
6,['flap.sol', 'drip.sol']
4,['flap.sol', 'frob.t.sol']
4,['flap.sol', 'tune.sol']
3,['flap.sol', 'bite.sol']
3,['drip.sol', 'frob.t.sol']
4,['drip.sol', 'tune.sol']
3,['drip.sol', 'bite.sol']
4,['frob.t.sol', 'tune.sol']
4,['frob.t.sol', 'bite.sol']
3,['tune.sol', 'bite.sol']
