similarity,combination
2,['flop.sol', 'join.sol']
3,['flop.sol', 'flip.sol']
2,['flop.sol', 'transferFrom.sol']
3,['flop.sol', 'frob.sol']
6,['flop.sol', 'flip.t.sol']
7,['flop.sol', 'flop.t.sol']
7,['flop.sol', 'flap.t.sol']
3,['flop.sol', 'heal.sol']
6,['flop.sol', 'heal.t.sol']
6,['flop.sol', 'flap.sol']
4,['flop.sol', 'frob.t.sol']
4,['flop.sol', 'tune.sol']
4,['flop.sol', 'bite.sol']
2,['join.sol', 'flip.sol']
1,['join.sol', 'transferFrom.sol']
2,['join.sol', 'frob.sol']
6,['join.sol', 'flip.t.sol']
5,['join.sol', 'flop.t.sol']
6,['join.sol', 'flap.t.sol']
3,['join.sol', 'heal.sol']
6,['join.sol', 'heal.t.sol']
2,['join.sol', 'flap.sol']
3,['join.sol', 'frob.t.sol']
5,['join.sol', 'tune.sol']
2,['join.sol', 'bite.sol']
2,['flip.sol', 'transferFrom.sol']
3,['flip.sol', 'frob.sol']
4,['flip.sol', 'flip.t.sol']
6,['flip.sol', 'flop.t.sol']
5,['flip.sol', 'flap.t.sol']
3,['flip.sol', 'heal.sol']
6,['flip.sol', 'heal.t.sol']
3,['flip.sol', 'flap.sol']
4,['flip.sol', 'frob.t.sol']
3,['flip.sol', 'tune.sol']
4,['flip.sol', 'bite.sol']
1,['transferFrom.sol', 'frob.sol']
6,['transferFrom.sol', 'flip.t.sol']
4,['transferFrom.sol', 'flop.t.sol']
4,['transferFrom.sol', 'flap.t.sol']
7,['transferFrom.sol', 'heal.sol']
5,['transferFrom.sol', 'heal.t.sol']
2,['transferFrom.sol', 'flap.sol']
3,['transferFrom.sol', 'frob.t.sol']
6,['transferFrom.sol', 'tune.sol']
2,['transferFrom.sol', 'bite.sol']
4,['frob.sol', 'flip.t.sol']
6,['frob.sol', 'flop.t.sol']
6,['frob.sol', 'flap.t.sol']
4,['frob.sol', 'heal.sol']
7,['frob.sol', 'heal.t.sol']
3,['frob.sol', 'flap.sol']
3,['frob.sol', 'frob.t.sol']
5,['frob.sol', 'tune.sol']
6,['frob.sol', 'bite.sol']
7,['flip.t.sol', 'flop.t.sol']
6,['flip.t.sol', 'flap.t.sol']
6,['flip.t.sol', 'heal.sol']
5,['flip.t.sol', 'heal.t.sol']
6,['flip.t.sol', 'flap.sol']
4,['flip.t.sol', 'frob.t.sol']
6,['flip.t.sol', 'tune.sol']
5,['flip.t.sol', 'bite.sol']
4,['flop.t.sol', 'flap.t.sol']
6,['flop.t.sol', 'heal.sol']
5,['flop.t.sol', 'heal.t.sol']
7,['flop.t.sol', 'flap.sol']
4,['flop.t.sol', 'frob.t.sol']
4,['flop.t.sol', 'tune.sol']
7,['flop.t.sol', 'bite.sol']
6,['flap.t.sol', 'heal.sol']
5,['flap.t.sol', 'heal.t.sol']
7,['flap.t.sol', 'flap.sol']
4,['flap.t.sol', 'frob.t.sol']
4,['flap.t.sol', 'tune.sol']
6,['flap.t.sol', 'bite.sol']
9,['heal.sol', 'heal.t.sol']
4,['heal.sol', 'flap.sol']
5,['heal.sol', 'frob.t.sol']
4,['heal.sol', 'tune.sol']
3,['heal.sol', 'bite.sol']
6,['heal.t.sol', 'flap.sol']
4,['heal.t.sol', 'frob.t.sol']
5,['heal.t.sol', 'tune.sol']
6,['heal.t.sol', 'bite.sol']
4,['flap.sol', 'frob.t.sol']
4,['flap.sol', 'tune.sol']
4,['flap.sol', 'bite.sol']
3,['frob.t.sol', 'tune.sol']
5,['frob.t.sol', 'bite.sol']
4,['tune.sol', 'bite.sol']
