similarity,combination
6,['flop.sol', 'join.sol', 'flip.sol']
2,['flop.sol', 'join.sol', 'transferFrom.sol']
5,['flop.sol', 'join.sol', 'frob.sol']
5,['flop.sol', 'join.sol', 'flip.t.sol']
6,['flop.sol', 'join.sol', 'flop.t.sol']
5,['flop.sol', 'join.sol', 'flap.t.sol']
5,['flop.sol', 'join.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'frob.t.sol']
4,['flop.sol', 'flip.sol', 'transferFrom.sol']
4,['flop.sol', 'flip.sol', 'frob.sol']
4,['flop.sol', 'flip.sol', 'flip.t.sol']
7,['flop.sol', 'flip.sol', 'flop.t.sol']
6,['flop.sol', 'flip.sol', 'flap.t.sol']
5,['flop.sol', 'flip.sol', 'flap.sol']
4,['flop.sol', 'flip.sol', 'frob.t.sol']
2,['flop.sol', 'transferFrom.sol', 'frob.sol']
5,['flop.sol', 'transferFrom.sol', 'flip.t.sol']
3,['flop.sol', 'transferFrom.sol', 'flop.t.sol']
3,['flop.sol', 'transferFrom.sol', 'flap.t.sol']
4,['flop.sol', 'transferFrom.sol', 'flap.sol']
4,['flop.sol', 'transferFrom.sol', 'frob.t.sol']
4,['flop.sol', 'frob.sol', 'flip.t.sol']
5,['flop.sol', 'frob.sol', 'flop.t.sol']
5,['flop.sol', 'frob.sol', 'flap.t.sol']
5,['flop.sol', 'frob.sol', 'flap.sol']
5,['flop.sol', 'frob.sol', 'frob.t.sol']
6,['flop.sol', 'flip.t.sol', 'flop.t.sol']
5,['flop.sol', 'flip.t.sol', 'flap.t.sol']
4,['flop.sol', 'flip.t.sol', 'flap.sol']
4,['flop.sol', 'flip.t.sol', 'frob.t.sol']
4,['flop.sol', 'flop.t.sol', 'flap.t.sol']
6,['flop.sol', 'flop.t.sol', 'flap.sol']
3,['flop.sol', 'flop.t.sol', 'frob.t.sol']
6,['flop.sol', 'flap.t.sol', 'flap.sol']
3,['flop.sol', 'flap.t.sol', 'frob.t.sol']
4,['flop.sol', 'flap.sol', 'frob.t.sol']
2,['join.sol', 'flip.sol', 'transferFrom.sol']
4,['join.sol', 'flip.sol', 'frob.sol']
5,['join.sol', 'flip.sol', 'flip.t.sol']
8,['join.sol', 'flip.sol', 'flop.t.sol']
8,['join.sol', 'flip.sol', 'flap.t.sol']
6,['join.sol', 'flip.sol', 'flap.sol']
4,['join.sol', 'flip.sol', 'frob.t.sol']
2,['join.sol', 'transferFrom.sol', 'frob.sol']
4,['join.sol', 'transferFrom.sol', 'flip.t.sol']
5,['join.sol', 'transferFrom.sol', 'flop.t.sol']
5,['join.sol', 'transferFrom.sol', 'flap.t.sol']
