similarity,combination
4,['flop.sol', 'join.sol']
5,['flop.sol', 'flip.sol']
3,['flop.sol', 'frob.sol']
3,['flop.sol', 'flip.t.sol']
4,['flop.sol', 'move.sol']
4,['flop.sol', 'flop.t.sol']
4,['flop.sol', 'flap.t.sol']
5,['flop.sol', 'heal.sol']
2,['flop.sol', 'drip.t.sol']
4,['flop.sol', 'heal.t.sol']
5,['flop.sol', 'flap.sol']
5,['flop.sol', 'drip.sol']
3,['flop.sol', 'frob.t.sol']
4,['flop.sol', 'tune.sol']
3,['flop.sol', 'bite.sol']
4,['join.sol', 'flip.sol']
5,['join.sol', 'frob.sol']
3,['join.sol', 'flip.t.sol']
2,['join.sol', 'move.sol']
2,['join.sol', 'flop.t.sol']
2,['join.sol', 'flap.t.sol']
3,['join.sol', 'heal.sol']
1,['join.sol', 'drip.t.sol']
4,['join.sol', 'heal.t.sol']
4,['join.sol', 'flap.sol']
2,['join.sol', 'drip.sol']
2,['join.sol', 'frob.t.sol']
4,['join.sol', 'tune.sol']
6,['join.sol', 'bite.sol']
3,['flip.sol', 'frob.sol']
5,['flip.sol', 'flip.t.sol']
3,['flip.sol', 'move.sol']
6,['flip.sol', 'flop.t.sol']
5,['flip.sol', 'flap.t.sol']
5,['flip.sol', 'heal.sol']
2,['flip.sol', 'drip.t.sol']
4,['flip.sol', 'heal.t.sol']
5,['flip.sol', 'flap.sol']
5,['flip.sol', 'drip.sol']
3,['flip.sol', 'frob.t.sol']
3,['flip.sol', 'tune.sol']
3,['flip.sol', 'bite.sol']
5,['frob.sol', 'flip.t.sol']
5,['frob.sol', 'move.sol']
3,['frob.sol', 'flop.t.sol']
4,['frob.sol', 'flap.t.sol']
3,['frob.sol', 'heal.sol']
1,['frob.sol', 'drip.t.sol']
4,['frob.sol', 'heal.t.sol']
3,['frob.sol', 'flap.sol']
4,['frob.sol', 'drip.sol']
2,['frob.sol', 'frob.t.sol']
3,['frob.sol', 'tune.sol']
4,['frob.sol', 'bite.sol']
3,['flip.t.sol', 'move.sol']
3,['flip.t.sol', 'flop.t.sol']
3,['flip.t.sol', 'flap.t.sol']
4,['flip.t.sol', 'heal.sol']
4,['flip.t.sol', 'drip.t.sol']
2,['flip.t.sol', 'heal.t.sol']
4,['flip.t.sol', 'flap.sol']
3,['flip.t.sol', 'drip.sol']
2,['flip.t.sol', 'frob.t.sol']
5,['flip.t.sol', 'tune.sol']
5,['flip.t.sol', 'bite.sol']
4,['move.sol', 'flop.t.sol']
4,['move.sol', 'flap.t.sol']
4,['move.sol', 'heal.sol']
2,['move.sol', 'drip.t.sol']
4,['move.sol', 'heal.t.sol']
3,['move.sol', 'flap.sol']
2,['move.sol', 'drip.sol']
2,['move.sol', 'frob.t.sol']
4,['move.sol', 'tune.sol']
4,['move.sol', 'bite.sol']
3,['flop.t.sol', 'flap.t.sol']
5,['flop.t.sol', 'heal.sol']
3,['flop.t.sol', 'drip.t.sol']
3,['flop.t.sol', 'heal.t.sol']
5,['flop.t.sol', 'flap.sol']
4,['flop.t.sol', 'drip.sol']
2,['flop.t.sol', 'frob.t.sol']
3,['flop.t.sol', 'tune.sol']
4,['flop.t.sol', 'bite.sol']
4,['flap.t.sol', 'heal.sol']
3,['flap.t.sol', 'drip.t.sol']
3,['flap.t.sol', 'heal.t.sol']
4,['flap.t.sol', 'flap.sol']
4,['flap.t.sol', 'drip.sol']
2,['flap.t.sol', 'frob.t.sol']
3,['flap.t.sol', 'tune.sol']
4,['flap.t.sol', 'bite.sol']
6,['heal.sol', 'drip.t.sol']
6,['heal.sol', 'heal.t.sol']
5,['heal.sol', 'flap.sol']
4,['heal.sol', 'drip.sol']
4,['heal.sol', 'frob.t.sol']
3,['heal.sol', 'tune.sol']
2,['heal.sol', 'bite.sol']
4,['drip.t.sol', 'heal.t.sol']
2,['drip.t.sol', 'flap.sol']
4,['drip.t.sol', 'drip.sol']
2,['drip.t.sol', 'frob.t.sol']
1,['drip.t.sol', 'tune.sol']
1,['drip.t.sol', 'bite.sol']
4,['heal.t.sol', 'flap.sol']
6,['heal.t.sol', 'drip.sol']
2,['heal.t.sol', 'frob.t.sol']
4,['heal.t.sol', 'tune.sol']
4,['heal.t.sol', 'bite.sol']
6,['flap.sol', 'drip.sol']
3,['flap.sol', 'frob.t.sol']
4,['flap.sol', 'tune.sol']
3,['flap.sol', 'bite.sol']
2,['drip.sol', 'frob.t.sol']
3,['drip.sol', 'tune.sol']
4,['drip.sol', 'bite.sol']
2,['frob.t.sol', 'tune.sol']
3,['frob.t.sol', 'bite.sol']
3,['tune.sol', 'bite.sol']
