similarity,combination
8,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol']
6,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol']
37,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'BadWallet.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol']
19,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'BadWallet.sol']
11,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'BadWallet.sol']
19,['ExampleMigration.sol', 'MultiSigWallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
10,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
38,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
21,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
47,['ExampleMigration.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
22,['ExampleMigration.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
6,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
40,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
23,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
36,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
19,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
43,['MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
11,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
2,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
17,['MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
12,['MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
16,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
17,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
44,['Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
17,['Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
16,['ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
