similarity,combination
10,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
24,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
21,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
5,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
27,['ExampleMigration.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
9,['ExampleMigration.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
5,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
17,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
29,['Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
6,['Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
