similarity,combination
8,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
20,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
22,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
5,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
26,['ExampleMigration.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
9,['ExampleMigration.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
5,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
17,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
30,['Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
6,['Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
