similarity,combination
5,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
31,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
11,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
14,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
23,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
19,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
11,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
34,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
14,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
36,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
15,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
12,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
16,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
