similarity,combination
8,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol']
6,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol']
13,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'BadWallet.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol']
7,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'BadWallet.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'BadWallet.sol']
6,['ExampleMigration.sol', 'MultiSigWallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
10,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
24,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
21,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
5,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
30,['ExampleMigration.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
9,['ExampleMigration.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
6,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
30,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
23,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
29,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
19,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
33,['MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
3,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
2,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
5,['MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
3,['MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
5,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
17,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
29,['Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
6,['Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
