similarity,combination
5,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol']
11,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'BadWallet.sol']
18,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'BadWallet.sol']
12,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Token.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
3,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
6,['ExampleMigration.sol', 'MultiSigWallet.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'MultiSigWallet.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
11,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
21,['ExampleMigration.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
4,['ExampleMigration.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
21,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol']
13,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'BadWallet.sol']
25,['MultiSigWallet.sol', 'Token.sol', 'ProxyAccount.sol', 'GNTAllocation.sol', 'BadWallet.sol']
22,['MultiSigWallet.sol', 'Token.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
3,['MultiSigWallet.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
5,['Token.sol', 'ProxyAccount.sol', 'Wallet.sol', 'GNTAllocation.sol', 'BadWallet.sol']
