similarity,combination
4,['MCOPCrowdSale.sol', 'MCOPCrowdSaleFlat.sol']
1,['MCOPCrowdSale.sol', 'Migrations.sol']
1,['MCOPCrowdSale.sol', 'TestAddress.sol']
2,['MCOPCrowdSale.sol', 'TokenTimelock.sol']
1,['MCOPCrowdSale.sol', 'TestMCOPCrowdSale.sol']
1,['MCOPCrowdSale.sol', 'MCOPToken.sol']
3,['MCOPCrowdSaleFlat.sol', 'Migrations.sol']
3,['MCOPCrowdSaleFlat.sol', 'TestAddress.sol']
3,['MCOPCrowdSaleFlat.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSaleFlat.sol', 'TestMCOPCrowdSale.sol']
4,['MCOPCrowdSaleFlat.sol', 'MCOPToken.sol']
1,['Migrations.sol', 'TestAddress.sol']
1,['Migrations.sol', 'TokenTimelock.sol']
0,['Migrations.sol', 'TestMCOPCrowdSale.sol']
0,['Migrations.sol', 'MCOPToken.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
1,['TestAddress.sol', 'TestMCOPCrowdSale.sol']
1,['TestAddress.sol', 'MCOPToken.sol']
1,['TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
1,['TokenTimelock.sol', 'MCOPToken.sol']
0,['TestMCOPCrowdSale.sol', 'MCOPToken.sol']
