similarity,combination
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol']
3,['MCOPCrowdSale.sol', 'Migrations.sol']
3,['MCOPCrowdSale.sol', 'TestAddress.sol']
2,['MCOPCrowdSale.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSale.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol']
2,['MCOPCrowdSaleAll.sol', 'TestAddress.sol']
3,['MCOPCrowdSaleAll.sol', 'TokenTimelock.sol']
2,['MCOPCrowdSaleAll.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSaleAll.sol', 'MCOPToken.sol']
1,['Migrations.sol', 'TestAddress.sol']
1,['Migrations.sol', 'TokenTimelock.sol']
0,['Migrations.sol', 'TestMCOPCrowdSale.sol']
0,['Migrations.sol', 'MCOPToken.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
1,['TestAddress.sol', 'TestMCOPCrowdSale.sol']
1,['TestAddress.sol', 'MCOPToken.sol']
1,['TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['TokenTimelock.sol', 'MCOPToken.sol']
1,['TestMCOPCrowdSale.sol', 'MCOPToken.sol']
