similarity,combination
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TestAddress.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TestMCOPCrowdSale.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestAddress.sol']
2,['MCOPCrowdSale.sol', 'Migrations.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'Migrations.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSale.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'TestAddress.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['MCOPCrowdSale.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TokenTimelock.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestMCOPCrowdSale.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'MCOPToken.sol']
3,['MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TokenTimelock.sol']
2,['MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'MCOPToken.sol']
3,['MCOPCrowdSaleAll.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSaleAll.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
3,['MCOPCrowdSaleAll.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol']
1,['Migrations.sol', 'TestAddress.sol', 'MCOPToken.sol']
2,['Migrations.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['Migrations.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
1,['Migrations.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
1,['TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['TestAddress.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
1,['TestAddress.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
