similarity,combination
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'MCOPCrowdSaleAll.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
2,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
3,['MCOPCrowdSale.sol', 'Migrations.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'Migrations.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['MCOPCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TestAddress.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
4,['MCOPCrowdSaleAll.sol', 'Migrations.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
3,['MCOPCrowdSaleAll.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
2,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol', 'TestMCOPCrowdSale.sol', 'MCOPToken.sol']
