similarity,combination
19,['NexoToken.sol', 'StandardToken.sol']
21,['NexoToken.sol', 'Owned.sol']
30,['NexoToken.sol', 'Token.sol']
18,['NexoToken.sol', 'Migrations.sol']
11,['NexoToken.sol', 'SafeMath.sol']
18,['NexoToken.sol', 'TokenMock.sol']
12,['NexoToken.sol', 'AbstractToken.sol']
7,['StandardToken.sol', 'Owned.sol']
13,['StandardToken.sol', 'Token.sol']
4,['StandardToken.sol', 'Migrations.sol']
1,['StandardToken.sol', 'SafeMath.sol']
3,['StandardToken.sol', 'TokenMock.sol']
6,['StandardToken.sol', 'AbstractToken.sol']
8,['Owned.sol', 'Token.sol']
3,['Owned.sol', 'Migrations.sol']
4,['Owned.sol', 'SafeMath.sol']
2,['Owned.sol', 'TokenMock.sol']
5,['Owned.sol', 'AbstractToken.sol']
5,['Token.sol', 'Migrations.sol']
1,['Token.sol', 'SafeMath.sol']
3,['Token.sol', 'TokenMock.sol']
6,['Token.sol', 'AbstractToken.sol']
1,['Migrations.sol', 'SafeMath.sol']
1,['Migrations.sol', 'TokenMock.sol']
2,['Migrations.sol', 'AbstractToken.sol']
1,['SafeMath.sol', 'TokenMock.sol']
1,['SafeMath.sol', 'AbstractToken.sol']
1,['TokenMock.sol', 'AbstractToken.sol']
