similarity,combination
38,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol']
14,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'SafeMath.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'TokenMock.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'AbstractToken.sol']
29,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'SafeMath.sol']
25,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'TokenMock.sol']
47,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'AbstractToken.sol']
14,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'TokenMock.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'AbstractToken.sol']
14,['NexoToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'TokenMock.sol']
14,['NexoToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'AbstractToken.sol']
20,['NexoToken.sol', 'StandardToken.sol', 'TokenMock.sol', 'AbstractToken.sol']
26,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol']
16,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol']
20,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol']
50,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol']
17,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'TokenMock.sol']
20,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'AbstractToken.sol']
14,['NexoToken.sol', 'Owned.sol', 'SafeMath.sol', 'TokenMock.sol']
14,['NexoToken.sol', 'Owned.sol', 'SafeMath.sol', 'AbstractToken.sol']
20,['NexoToken.sol', 'Owned.sol', 'TokenMock.sol', 'AbstractToken.sol']
16,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
20,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol']
45,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'AbstractToken.sol']
15,['NexoToken.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
32,['NexoToken.sol', 'Token.sol', 'SafeMath.sol', 'AbstractToken.sol']
38,['NexoToken.sol', 'Token.sol', 'TokenMock.sol', 'AbstractToken.sol']
