similarity,combination
31,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol']
21,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol']
25,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol']
68,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'TokenMock.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'SafeMath.sol', 'TokenMock.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'SafeMath.sol', 'AbstractToken.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'TokenMock.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
24,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol']
52,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
42,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'SafeMath.sol', 'AbstractToken.sol']
41,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'TokenMock.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
19,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
30,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
20,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol']
47,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'AbstractToken.sol']
15,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
34,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'AbstractToken.sol']
39,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
16,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
16,['NexoToken.sol', 'Owned.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
15,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
31,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
37,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
33,['NexoToken.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
14,['NexoToken.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
14,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
6,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol']
15,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'AbstractToken.sol']
2,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
4,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'AbstractToken.sol']
7,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'AbstractToken.sol']
