similarity,combination
48,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol']
35,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol']
57,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol']
98,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'AbstractToken.sol']
57,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'AbstractToken.sol']
23,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Owned.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
18,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
75,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
52,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
74,['NexoToken.sol', 'StandardToken.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
13,['NexoToken.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
24,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
33,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
38,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
39,['NexoToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
16,['NexoToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
32,['NexoToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
6,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol']
16,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'AbstractToken.sol']
7,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenMock.sol', 'AbstractToken.sol']
2,['StandardToken.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
1,['StandardToken.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
1,['StandardToken.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
2,['Owned.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'TokenMock.sol', 'AbstractToken.sol']
