similarity,combination
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'AddressUtils.sol']
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
1,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
4,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMath.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMath.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
5,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
3,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
4,['Migrations.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['Migrations.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
3,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol']
4,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
2,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
4,['SafeMath.sol', 'SafeMathMock.sol', 'StablecoinWithBalance.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['SafeMath.sol', 'SafeMathMock.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['SafeMath.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
5,['SafeMathMock.sol', 'StablecoinWithBalance.sol', 'ERC20Proxy.sol', 'StablecoinImplementation.sol', 'AddressUtils.sol', 'UpgradeabilityStorage.sol']
