similarity,combination
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV2.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementation.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'PAXImplementationV1.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV2.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementation.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol']
7,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AddressUtils.sol']
8,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'PAXImplementationV1.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementation.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'SafeMathMock.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AddressUtils.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementationV2.sol', 'PAXImplementationV1.sol']
4,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'SafeMathMock.sol']
5,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AddressUtils.sol']
6,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
3,['PAXWithBalance.sol', 'BadV2UpgradeExample.sol', 'Migrations.sol', 'UpgradeabilityProxy.sol', 'PAXImplementation.sol', 'PAXImplementationV1.sol']
