similarity,combination
6,['StablecoinEventInterface.sol', 'StablecoinProxy.sol']
2,['StablecoinEventInterface.sol', 'Migrations.sol']
2,['StablecoinEventInterface.sol', 'SafeMath.sol']
1,['StablecoinEventInterface.sol', 'SafeMathMock.sol']
2,['StablecoinEventInterface.sol', 'StablecoinWithBalance.sol']
2,['StablecoinEventInterface.sol', 'StablecoinImplementation.sol']
4,['StablecoinEventInterface.sol', 'AddressUtils.sol']
2,['StablecoinEventInterface.sol', 'UpgradeabilityStorage.sol']
6,['StablecoinProxy.sol', 'Migrations.sol']
8,['StablecoinProxy.sol', 'SafeMath.sol']
5,['StablecoinProxy.sol', 'SafeMathMock.sol']
7,['StablecoinProxy.sol', 'StablecoinWithBalance.sol']
4,['StablecoinProxy.sol', 'StablecoinImplementation.sol']
4,['StablecoinProxy.sol', 'AddressUtils.sol']
9,['StablecoinProxy.sol', 'UpgradeabilityStorage.sol']
1,['Migrations.sol', 'SafeMath.sol']
1,['Migrations.sol', 'SafeMathMock.sol']
1,['Migrations.sol', 'StablecoinWithBalance.sol']
2,['Migrations.sol', 'StablecoinImplementation.sol']
3,['Migrations.sol', 'AddressUtils.sol']
3,['Migrations.sol', 'UpgradeabilityStorage.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
1,['SafeMath.sol', 'StablecoinWithBalance.sol']
2,['SafeMath.sol', 'StablecoinImplementation.sol']
3,['SafeMath.sol', 'AddressUtils.sol']
2,['SafeMath.sol', 'UpgradeabilityStorage.sol']
1,['SafeMathMock.sol', 'StablecoinWithBalance.sol']
2,['SafeMathMock.sol', 'StablecoinImplementation.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
1,['SafeMathMock.sol', 'UpgradeabilityStorage.sol']
2,['StablecoinWithBalance.sol', 'StablecoinImplementation.sol']
1,['StablecoinWithBalance.sol', 'AddressUtils.sol']
2,['StablecoinWithBalance.sol', 'UpgradeabilityStorage.sol']
3,['StablecoinImplementation.sol', 'AddressUtils.sol']
5,['StablecoinImplementation.sol', 'UpgradeabilityStorage.sol']
3,['AddressUtils.sol', 'UpgradeabilityStorage.sol']
