similarity,combination
1,['PAXWithBalance.sol', 'Migrations.sol']
13,['PAXWithBalance.sol', 'UpgradeabilityProxy.sol']
1,['PAXWithBalance.sol', 'SafeMath.sol']
5,['PAXWithBalance.sol', 'Proxy.sol']
2,['PAXWithBalance.sol', 'PAXImplementation.sol']
1,['PAXWithBalance.sol', 'SafeMathMock.sol']
1,['PAXWithBalance.sol', 'AddressUtils.sol']
16,['PAXWithBalance.sol', 'AdminUpgradeabilityProxy.sol']
16,['Migrations.sol', 'UpgradeabilityProxy.sol']
2,['Migrations.sol', 'SafeMath.sol']
7,['Migrations.sol', 'Proxy.sol']
2,['Migrations.sol', 'PAXImplementation.sol']
2,['Migrations.sol', 'SafeMathMock.sol']
3,['Migrations.sol', 'AddressUtils.sol']
23,['Migrations.sol', 'AdminUpgradeabilityProxy.sol']
9,['UpgradeabilityProxy.sol', 'SafeMath.sol']
19,['UpgradeabilityProxy.sol', 'Proxy.sol']
6,['UpgradeabilityProxy.sol', 'PAXImplementation.sol']
10,['UpgradeabilityProxy.sol', 'SafeMathMock.sol']
10,['UpgradeabilityProxy.sol', 'AddressUtils.sol']
43,['UpgradeabilityProxy.sol', 'AdminUpgradeabilityProxy.sol']
3,['SafeMath.sol', 'Proxy.sol']
2,['SafeMath.sol', 'PAXImplementation.sol']
1,['SafeMath.sol', 'SafeMathMock.sol']
3,['SafeMath.sol', 'AddressUtils.sol']
19,['SafeMath.sol', 'AdminUpgradeabilityProxy.sol']
4,['Proxy.sol', 'PAXImplementation.sol']
8,['Proxy.sol', 'SafeMathMock.sol']
5,['Proxy.sol', 'AddressUtils.sol']
30,['Proxy.sol', 'AdminUpgradeabilityProxy.sol']
2,['PAXImplementation.sol', 'SafeMathMock.sol']
2,['PAXImplementation.sol', 'AddressUtils.sol']
6,['PAXImplementation.sol', 'AdminUpgradeabilityProxy.sol']
2,['SafeMathMock.sol', 'AddressUtils.sol']
22,['SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
15,['AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
